Word	POS	BNC Rank	Google Rank	IPA	Conjugations	Synonyms	Arabic	Chinese	German	Greek	English	French	Italian	Japanese	Korean	Dutch	Portuguese	Russian	Spanish	Swedish	Thai	Turkish
acid	n.	2113	2569	ˈæsəd	acids	N/A	N/A	酸, 酸类物质, 尖刻, 迷幻药	Säure, chemische Verbindung die zusammen mit Basen Salze bildend (Chemie); sauer schmeckende Substanz; Sarkasmus; LSD (Slang)	οξύς, οξύ, οξύ χημεία	any of a group of sour-tasting substances that dissolve in water and form salts when combined with bases (Chemistry); substance having a sour taste; acerbity, sarcasm; LSD (Slang)	acide, L.S.D.	(Chim) acido; (fig) acidità, mordacità; (sl) LSD	酸; 酸を含んだもの（化学）; 酸っぱいもの; 渋さ; LSD（俗語）	산 (화학); 신맛이 나는 것; 신랄함; 환각제 엘에스디(속어)	zuur; L.S.D.	ácido (Química); substância de gosto azedo ou amargo; sarcasmo; LSD (Gíria)	кислота; язвительность, ехидство; ЛСД	ácido	syra; LSD (narkotisk drog)	N/A	asit, lsd
acidic	adj.	25364	24019	əsˈɪdɪk	N/A	acid sharp tart sour bitter	محمض	N/A	säurehaltig; Säure erzeugend; sauer; säuerlich; bissig	N/A	resembling acid; acid forming; containing large amounts of silica	acide, acidifiant; âcre; aigre	(Geol) siliceo; acidogeno	酸のような; 酸性の; 大量のシリカを含む	산성의; 산을 형성하는	zuur; bits; bijtend; wrang	de ácido; azedo; acetoso	кислый	ácido, acedo, ácidico	syra-; sur; bitter; som innehåller syra; syrlig	ซึ่งเป็นกรด ที่มีคุณสมบัติเป็นกรด	N/A
activate	v.	22827	10048	ˈæktəvˌeɪt	activates activated activating	N/A	فعل, شغل, نشط, أعد, جهز, زود وحدة عسكرية	N/A	starten, aktivieren	θέτω εις ενέργειαν, δραστηριοποιώ	set in motion, make active, start; speed up a reaction (Chemistry); make radioactive (Physics)	activer	attivare, rendere attivo; (Fis, Chim) rendere radioattivo; (Mil) organizzare	活動させる; （化学）活性化する; 放射性にする（物理学）	활동적으로 하다, 활성화하다; 반응을 빨리 일으키게 하다(화학); 방사능을 부여하다, 방사성으로 하다(물리)	aanzetten tot handeling	ativar, acionar, fazer funcionar; acelerar uma reação (Química); tornar radioativo (Física)	активировать, активизировать, включать; делать радиоактивным; зачислять в часть, формировать и укомплектовывать	activar, accionar, meter acción a, mover, poner en marcha, en funcionamiento; desencadenar, provocar; excitarse	aktivera, göra verksam	N/A	etkinleştirmek, harekete geçirmek, aktif hale getirmek; kurmak (birlik)
actively	adv.	5880	7030	ˈæktɪvli	N/A	N/A	N/A	N/A	aktiv, tatkräftig	δραστήρια	in an active manner, energetically, vigorously, busily	activement; avec énergie, de manière active	attivamente	活発に, 積極的に	활발히，능동적이게	ondernemend; actief; bijdragend, op een ondernemende manier	ativamente, diligentemente; efetivamente; produtivamente	активно	activamente, enérgicamente	aktivt, verksamt; livligt	อย่างกระฉับกระเฉง อย่างแข็งขัน, อย่างขยันขันแข็ง, อย่างคล่องตัว, อย่างคล่องแคล่ว, อย่างกระตือรือร้น	N/A
acute	adj.	4123	5689	əkyˈut	acuter acutest	N/A	فطين, ذكي, عصيب, حاد, مبرح, شديد, خطير, فطن, ثاقب, قوي	N/A	akut	έντονος, οξύνους, οξύς	grave, serious, severe; keen, sharp, sensitive; penetrating, shrewd; less than 90 degrees (Geometry); pointed	grave; sérieux; vif; aigu	acuto, aguzzo, appuntito, acuminato; perspicace, sottile, penetrante; intenso, vivo; grave, critico	激しい; 急性の; 深刻な; 鋭角の, 90度以内の（幾何学）; 鋭い	심한, 격렬한, 심각한; 날카로운, 예리한, 예민한; 매서운, 통렬한 ; 급성의; 예각의(기하학); 끝이 뾰족한	ernstig; serieus; scherp; acuut	agudo; fino; sério	острый, резкий; проницательный, сообразительный; пронзительный, сильный, высокий; заостренный; угол менее 90 градусов (геом.)	agudo, afilado, incisivo; intenso, penetrante, punzante; perspicaz, ingenioso	akut; allvarlig; stark (smak); skarp, spetsig	แหลม ที่มีปลายแหลม	keskin, sivri, şiddetli, ; akut, aşırı; dar (açı), ilerlemiş
adaptation	n.	9713	9669	ˌædəptˈeɪʃən	adaptations	N/A	تأقلم, تكيف, تهيئ, شىء مكيف أو معدل, كتاب معدل	适应, 改编, 改编本	Fassung; Anpassung	προσαρμογή	act of adapting; process of making one thing fit another; modification, adjustment	adaptation, modification changement; remaniement	adattamento; acclimatazione; modificazione; riduzione; accomodazione	適合; 適応させること; 修正	적응; 적응화; 개정, 적합화	bewerking; aanpassing	adaptação; acomodação	адаптация, приспособление, привыкание; применение; обработка, переделка, аранжировка	adaptación, aclimatación, acomodación, acomodamiento, acomodo, amoldamiento, familiarización	anpassning, adaption; bearbetning	การปรับตัว	adaptasyon, alıntı, uyma, aktarma, uyarlama, uygunluk, intibak
adaptive	adj.	18185	9230	ədˈæptɪv	N/A	N/A	N/A	N/A	anpassend, anpassungsfähig	N/A	capable of adapting; versatile	adaptatif (Biologie); versatile, multilatéral	adattabile, che può adattarsi; che si adatta; (Biol, tecn) adattivo, adattativo	適応できる; 環境順応を助ける; 適応させる	적응성이 있는, 적응할 수 있는; 융통성이 있는	zich aanpassend	adaptável; capaz de se adaptar	N/A	acomodable, adaptable	som anpassar sig; passande, lämplig	ซึ่งปรับตัวได้	uyabilen
adjacent	adj.	7592	6246	ədʒˈeɪsənt	adjacents	N/A	قريب, متاخم, متجاور	N/A	neben; nahe; eng bei	γειτονικός, παρακείμενος, προσκείμενος, συνεχόμενος	near; next; adjoining	adjacent, contigu, attenant, avoisinant, limitrophe	adiacente, contiguo, attiguo, limitrofo	近くの; 近接した	근처의; 이웃의; 인접한	nabij, naast; dichtbij; aangrenzend; steunend	adjacente, contíguo; próximo; apegado	смежный, примыкающий, соседний	adyacente, adjunto, aledaño, circunvecino, contiguo, lindante, paredaño, yuxtapuesto	avgränsande, närliggande; grann-	ติดกัน ประชิดกัน, ประกบ, ข้างเคียง, ข้างๆ	bitişik; yakın, komşu
admission	n.	4431	4271	ædmˈɪʃən	admissions	N/A	سماح بالدخول, تسليم بقضية, اعتراف, إدخال, حق الدخول أو الإذن به, رسم الدخول, قبول	准许进入, 入场费, 录用, 承认	Eintritt; Eintrittserlaubnis; Geständnis	παραδοχή, αποδοχή, εισδοχή, είσοδος	entrance; permission to enter; confession	admission; entrée; aveu	ammissione, accesso, ingresso; permesso di entrare; entrata, prezzo d'ingresso, biglietto d'ingresso; confessione; riconoscimento	入ることの許可; 入場; 入場料; 自認; 入会; 入学	입장; 들어감을 허락함; 자백	toegang; toelating; erkenning	admissão; entrada; confissão	доступ, вход; входная плата; признание; принятие, допущение; новый пациент	admisión, acceso, entrada, recepción; confesión	tillträde; inträde; intagning	สิทธิ์ในการเข้าไป	giriş, girme, katılma, giriş izni, kabul, itiraf, giriş ücreti, emme [müh.]
adolescent	adj.	22335	9385	ˌædəlˈɛsənt	adolescents	teenager youth youngster juvenile minor pubescent teenage young youthful juvenile teen pubescent pubertal	مراهق, يافع	N/A	heranwachsend, in der Pubertät	N/A	of puberty, pertaining to the age between childhood and adulthood	adolescent	adolescente; da adolescente	青春期の; 未熟な; 思春期特有の	청년기의, 한창 젊은	opgroeiend	jovem; adolescente	юношеский, юный, подростковый	adolescente, púber; inmaduro, pueril	ungdomlig, ungdoms-, tonårs-	N/A	genç
adverse	adj.	7058	5679	ædvˈɜs	N/A	N/A	معاكس, مناوئ, عكسي, متعسر, وخيم, مائج, متجه نحو الجذع	N/A	ablehnend; widrig; dagegen	δυσμενής, ενάντιος, αντίθετος	hostile; contrary; opposed	adverse; hostile	avverso, ostile, contrario; sfavorevole	不利な; 逆の; 反対する	적의를 품은; 역의; 반대의	ongunstig; nadelig; tegenstrijdig	contrário; adverso; oposto	враждебный, неблагоприятный, вредный; противоположный, лежащий напротив, расположенный напротив	adverso; contrario, desfavorable; enemigo, negativo, perjudicial	fientlig; ogynnsam; motsatt; mot-	ตรงกันข้าม ตรงข้าม	ters, aksi, zıt, karşıt, aleyhte
aerosol	n.	33313	17013	ˈɛrəsˌɑl	N/A	spray vaporizer	الهباء الجوي	烟, 雾	Aerosol; Spraydose	αεροζόλ	liquid substance stored under pressure and released as a fine spray; container in which this is stored; tiny particle suspended in the atmosphere and carried by the wind (Ecology)	aérosol; vaporisateur; suspension de particules très fines solides ou liquides dans un gaz (écologie)	aerosol, spruzzatore; sospensione di particelle solide o liquide in un gas, usata come farmaco, insetticida e sim.; pulviscolo atmosferico trasportato dal vento (ecologia)	噴霧器; アトマイザー; （生態学）空中に漂い風によって運ばれる小さな粒子	압력으로 눌려 저장되어 스프레이 형태로 뿜어지는 액체입자; 에로졸이 저장된 용기; 공기상에 떠다니다 바람에 의해 이동되는 아주 작은 입자(환경학)	spray, spuitbus, aërosol; (ecologie) klein deeltje in de lucht voortbewogen door de wind	aerossol, substância coloidal armazenada sob pressão que após a sua liberação assume o estado líquido ou sólido; o recipiente em que a substância é armazenada; partícula suspensa no ar (Ecologia)	аэрозоль, аэрозольная упаковка, баллончик, мельчайшие жидкие частицы, мельчайшие твердые частицы	aerosol, rociador, atomizador; (ecología) partícula chica que es transportada en el aire por el viento	aerosol, spray, sprayflaska	ละอองของเหลว	aerosol
aesthetic	adv.	8454	13578	ɛsθˈɛtɪk	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
affirm	v.	33312	19473	əfˈɜm	affirms affirmed affirming	assert insist confirm avow state announce establish verify pronounce acknowledge support uphold encourage sustain	أكد, ثبت, قرر, أيد, علم مؤكدا, جزم	N/A	bestätigen; behaupten; verkünden	δηλώνω υπεύθυνα [νομ.], βεβαιώνω	confirm; claim; state to be true	affirmer, soutenir; confirmer, homologuer	affermare, asserire, dichiarare; confermare; (Dir) dichiarare solennemente	断言する; …と主張する; 誓う	단언하다, 확언하다; 확신을 갖고 주장하다; 사실임을 진술하다	bevestigen, bekrachtigen; toegeven	afirmar, aceitar, confirmar; opinar; declarar	подтверждать, утверждать, торжественно заявлять, скреплять подписью	afirmar, alegar, asegurar, aseverar, declarar formalmente; ratificar, confirmar	försäkra; intyga; bestämt påstå	N/A	söylemek, ileri sürmek, iddia etmek, beyan etmek, bildirmek, doğrulamak, onaylamak
afterward	adv.	80417	20128	ˈæftɜwɜd	N/A	later subsequently then next	N/A	N/A	nachdem, später	N/A	subsequently	après cela, ensuite	dopo, poi, successivamente, in seguito	後で, その後に	그후	later; nadien, naderhand	subseqüentemente, depois, mais tarde	затем, впоследствии, потом, позже	luego, después, más adelante, más tarde	efteråt, sedan	ภายหลัง หลังจากนั้น, จากนั้น, ทีหลัง, คราวหลัง, ตอนหลัง, ต่อมา, ต่อจากนั้น, คราวหน้า, ครั้งต่อไป, ต่อไป	sonra, sonradan, daha sonra
aggregate	adj.	8788	7023	ˈægrəgət	aggregates aggregated aggregating	collective total combined cumulative amassed summative comprehensive total collection mass whole combination combine amass collect accumulate total	إجمالي, على وجه الإجمال, كلي	N/A	zusammengefügt, gesamt	συνολικός	collective, total, taking all units as a whole	global, agrégé	globale, complessivo, totale; (Bot, Geol, Econ) aggregato	集合の; 総計の	집합적인, 총계의	totaal, aggregaat	agregado, incluido	совокупный, собранный вместе, весь, общий, сгруппированный, сложный, агрегатный	agregado; juntado	sammanlagd, total	N/A	toplanmış, biriktirilmiş, bütün, toplam
agriculture	n.	2653	2729	ˈægrɪkˌʌltʃɜ	agricultures	farming cultivation gardening	زراعة	农业	Landwirtschaft	γεωργία, γεωπονία	raising of crops and livestock	agriculture	agraria; agricoltura	農業; 農学	농업, 농학	landbouw	agricultura	агрокультура, сельское хозяйство, земледелие, агрономия	agricultura, agro, agronomía	jordbruk, agrikultur	เกษตรกรรม การเกษตร, กสิกรรม	tarım, ziraat, çiftçilik
airplane	n.	49139	9776	ˈɛrplˌeɪn	airplanes	aircraft plane jet airliner	طائرة	飞机	Flugzeug	αεροπλάνο	aeroplane, jet plane	avion	aeroplano, aereo, apparecchio	飛行機	비행기	vliegtuig	avião, jato	самолет, аэроплан	avión, aeronave, aeroplano	flygplan	เครื่องบิน	uçak
algebra	n.	26926	8150	ˈældʒəbrə	N/A	N/A	علم الجبر	代数学	Algebra	άλγεβρα	mathematical system that uses equations containing letters and numbers	algèbre, système mathématique qui utilise des équations combinant lettres et chiffres; calcul des grandeurs considérées d'une manière générale et représentées par des lettres	algebra	代数	대수학, 숫자와 문자를 포함한 방정식을 이용하는 수학 체계	algebra	álgebra	алгебра	álgebra	algebra	พีชคณิต	cebir
algorithm	n.	12564	4248	ˈælgɜˌɪðəm	N/A	N/A	نظام الحلول الحسابية, الحلول الحسابية	算法	Algorithmus; (Comput) Prozedur die zu einer wirksamen Problemlösung dient	αλγόριθμος	(Mathematics) step-by-step procedure used to solve a problem (often includes repetition of steps); step-by-step problem-solving procedure used within software applications (Computers)	algorithme, mode de calcul; suite d'opérations servant à résoudre efficacement des problèmes (informatique)	algoritmo, metodo di calcolo; (inform.) processo usato nella soluzione efficiente di un problema	（数学）算法, アルゴリズム ; （ コンピューター）算法, アルゴリズム	연산, 연산 방식	algorithme; manier van berekenen; een aantal nauwkeurig omschreven regels voor het oplossen van een probleem op een efficiente manier (in computers)	(Matemática) algoritmo, método de cálculo; método usado para a solução eficaz de um problema (Informática)	алгоритм (комп.), метод, правило	algoritmo, fórmula o serie de pasos para resolver un problema particular; serie de reglas claras y precisas para lograr una solución efectiva a un problema (ordenadores)	(Matematik) algoritm, särskilt utsatta regler och steg-för-steg beskrivningar för uträkningar (inkluderar ofta repetetiva steg); steg-för-steg lösningar som används inom olika applikationer (data)	ลำดับขั้นตอนที่แน่นอนซึ่งใช้ในการแก้ปัญหา	arap rakamları sistemi
alien	n.	10924	5965	ˈeɪliən	aliens	N/A	غريب, أجنبي, أبعد	外国人, 外侨	Ausländer; Ausserirdischer	αλλοδαπός	foreigner, person living in a nation where he or she is not a citizen; stranger, outsider; extra-terrestrial, creature from outer space	étranger, personne vivant dans une terre qui n'est pas son pays d'origine; extra - terrestre	straniero; forestiero; emarginato; extraterrestre, alieno	外国人; 見知らぬ人, 部外者; 余分の 物, 地球外生物	이방인，외국인，외계인	vreemdeling, buitenlander; vreemde; buitenaards wezen, marsmannetje, wezen van andere planeet	estrangeiro, estranho, forasteiro; extra-terrestre, alienígena	чужестранец, иноземец, иностранец, подданный другого государства; чужак; инопланетянин	extranjero, forastero, meteco, persona que vive en un país que no es su patria natal; especie viviente que viene del espacio exterior, criatura que viene de otro planeta	främling; utlänning	N/A	yabancı, yabancı uyruklu kimse, ecnebi; yaratık; haklardan mahrum bırakılan kimse; yabancı kelime, aktarma [dilb.]
alliance	n.	3404	3355	əlˈaɪəns	alliances	N/A	زقاق, تحالف, مصاهرة, القرابة	联盟, 联合	Bündnis; Allianz	συμμαχία	pact, treaty; connection, relationship	alliance; pacte	alleanza, unione; patto; matrimonio, l'imparentarsi; (fig) parentela, affinità	同盟; 縁組み; 提携; 同盟国; 同盟者	계약, 협정; 결연, 동맹	verbond; verbintenis	união; confederação	союз, объединение, единение, альянс, федерация; брачный союз, родство, общность	alianza, asociación, liga, unión	förbund, allians; pakt	สหพันธ์ สมาพันธ์, องค์กร, พันธมิตร	akrabalık, dünürlük; birleşme, birlik, anlaşma, ittifak, bağ, antlaşma, pakt,
allocate	v.	16521	13776	ˈæləkˌeɪt	allocates allocated allocating	N/A	جملة, خصص, عين, حدد, قسم	N/A	zuweisen, zuteilen; (Comput) einem Programm ermöglichen eine Systemressource anzusprechen	παρηχώ, κατανέμω, διανέμω, εντοπίζω σημείο, εντοπίζω θέση	ration; allot, set aside; designate a portion of system resources for a particular task or operation (Computers)	allouer, donner une allocation; assigner; allouer, fait de permettre à un logiciel d'utiliser une certaine ressource (informatique)	distribuire, assegnare, stanziare; (inform.) permettere ad un software di servirsi di una risorsa specifica	配分する; 取り分けておく; 割り当てる; （コンピュータ） 割り当てる; タスクやジョブに特定のリソースを割り付ける	할당하다	toewijzen (ook in computers), een bepaald programma de mogelijkheid verlenen bepaalde toegewezen hulpmiddelen te gebruiken (computers); budgetteren	estabelecer verbas, determinar a distribuição de um orçamento; determinar, permitir ao programa usar um recurso determinado (Informática)	предназначать, назначать, ассигновать; распределять, размещать; резервировать, бронировать (места), отчислить; выделить определенную часть системных ресурсов для выполнения определенной задачи (компьют.)	asignar espacio (ordenadores); adjudicar, destinar; permitirle al programa hacer uso de un recurso determinado (ordenadores)	tilldela, fördela; anslå, åtsidosätta; avse en del av systemresurserna för en särskild uppgift el. funktion (data)	N/A	ayırmak; bölüştürmek, paylaştırmak
allocation	n.	4972	5487	ˌæləkˈeɪʃən	allocations	N/A	حصة, توزيع	配置, 分配, 拨给	Zuordnung; Zuweisung; Ration	κατανομή, διανομή	allotment; apportionment; portion	allocation, attribution, répartition	distribuzione, assegnazione; stanziamento; (Comm) allogazione, collocamento; ripartizione	分け前; 割り当て; 割り当て額	배분; 배당; 할당	toewijzing, toebedeling; portie	distribuição, partilha; destinação de verbas; porção	ассигнование, отчисление; распределение; размещение, локализация, установление места; назначение	afijación; asignación, adjudicación	fördelning; tilldelning, allokering; anslag	การแบ่งส่วน การจัดสรรปันส่วน	pay ayırma, bölüştürme, paylaştırma, dağıtma, ödenek, tahsis, pay
altitude	n.	13919	10645	ˈæltətˌud	altitudes	height elevation	ارتفاع, الإرتفاع الزاوي, الإرتفاع العمودي, المسافة العمودية	高度, 海拔, 高处	Höhe, Höhenlage	ύψος, υψόμετρο	height, distance above sea level	altitude, hauteur	altitudine, quota, altezza; (fig) posizione eccelsa, rango elevato	高度; 海抜; 高所	높이, 고도	hoogte	altitude, elevação	высота, высоты, высота над уровнем моря, высокие места, возвышенность, высокое положение	altitud, altura, eminencia	höjd (över havet)	ระยะทางจากฐานถึงจุดสูงสุด (เรขาคณิต)	yükseklik, yükselti, irtifa, rakım, üstünlük, itibar
aluminum	n.	173648	4786	əlˈumənəm	aluminums	N/A	N/A	铝	Aluminium	αλουμίνιο, αργίλιο	malleable silvery metallic element used in alloys and in the manufacture of lightweight objects (Chemistry)	aluminium	alluminio	アルミニウム（化学）	알류미늄	aluminium	alumínio, tipo de metal, elemento químico	алюминий	aluminio	aluminium	อะลูมินัม อลูมิเนียม	alüminyum
amino	n.	11806	7125	əmˈinoʊ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
amongst	prep.	2246	7518	əmˈʌŋst	N/A	between among amid with among amid between among	وسط, فيما بين	在...当中, 在...之间, 在...之中	zwischen; unter	N/A	amid, in; between	parmi; entre; au milieu de	tra più di due persone o cose	間で; 中で	...의 사이에, 중의 한 사람으로	tussen; te midden van	entre; no meio de; dentro	среди, посреди, между, из числа, в числе, из, у	entre	ibland, bland; mellan	ท่ามกลาง ในจำนวน, ในระหว่าง, ในพวก, ในหมู่	arasına, arasında, içinde
amplitude	n.	16560	13577	ˈæmplətˌud	N/A	N/A	مدى, سعة, إنطلاق نحو الذروة, وفرة, قيمة الذروة	广阔, 充足, 幅度	Amplitude, Umfang, Schwingungsweite; Größe	εύρος, ευρύτητα, πλάτος, αφθονία, υψηστή τιμή ρεύματος, ρεύμα υψηλής ποσότητας	magnitude; spaciousness; plenitude	amplitude; étendue, ampleur; déclinaison; importance; plénitude	ampiezza, estensione, abbondanza, quantità	広さ; 豊富; 振幅	넓이, 충분함, 진폭, 출몰 방위각	afmeting, formaat, grootte; overvloed, overdaad	amplitude; tamanho; abrangência; abundância	обширность, объем, простор, пространство; протяжение, широта, размах, полнота, обилие; амплитуда, дальность действия	amplitud, dimensión, tamaño	storlek; vidd; amplitud	ความล้นเหลือ ความอุดมสมบูรณ์	genişlik, bolluk, çokluk; genlik
analogy	n.	8418	16295	ənˈælədʒi	analogies	N/A	تشابه جزئي, مماثلة, التناظر الوظيفي, تجانس	相似, 类似	Analogie; Vergleich; Parallele	αναλογία	similarity, parallelism; comparability	analogie; parallélisme; correspondance; comparaison	analogia, affinità; (Mat) proporzione	類似; 類推	유사, 유추, 유추법, 상사, 유형	analogie; overeenkomst	analogia, semelhança; comparação	аналогия, сходство	analogía, similaridad, similitud	analogi; parallellism, motsvarighet; jämförelse	ความคล้ายคลึงกัน	analoji, benzeşim, benzerlik, örnekseme; karşılaştırma, kıyas
ancestor	n.	17098	17598	ˈænsˌɛstɜ	ancestress ancestors ancestresses	N/A	سلف, الجد الأعلى, جد	祖先, 祖宗	Vorfahr, Ahne	πρόγονος	forefather, progenitor	ancêtre	antenato, avo, progenitore; (Dir) ascendente; (fig) prototipo	先祖, 祖先	선조	voorvader	ancestrais; idade da pedra	предок, прародитель, предшествующий владелец	antepasado, predecesor, progenitor	förfader, stamfader	รูปแบบเดิมของสิ่งมีชีวิต	dede, ata, cet, soy
