英単語,訳,発音,解説,用例,用例・訳
actively,積極的に,ˈæktɪvli,活発に;積極的に,We actively support work in other regions.,われわれが地域の方々に積極的に活動の支援を行います
activist,活動家,ˈæktəvəst,"(特に政治信条の)積極行動主義者,実践主義者",Activists are stepping up their protest drive.,活動家たちは反対運動を強めています。
adequately,"十分に,適切に;そこそこに",ˈædəkwətli,"適切に,十分に","that the orifice of the venous artery being of an oval shape from the nature of its situation, can be adequately closed with two, whereas the others being round are more conveniently closed with three.
","venous artery （ 肺 静脈 ） の 開口 部 は 、 その 役割 の 性質 から 楕円 形 に なっ て いる ので 、 弁 が 2 つ でき ちんと 閉じ られる の だ が 、 それ 以外 の 開口 部 は 円形 な ので 、 3 つ あっ た ほう が 閉じ やすい の だ 。
"
adhere,"【動/自】《規則・法律・主義などに》執着する,固守する《to》；《考えなどを》支持する《to》；《...に》くっつく,粘着する《to》",ədˈhɪr,"【動/自】《規則・法律・主義などに》執着する,固守する《to》；《考えなどを》支持する《to》；《...に》くっつく,粘着する《to》",She adhered strongly to her belief.,彼女は自己の信念を決して変えようとしなかった。
administer,管理する；運営する；統治する,ədˈmɪnəstər,"…'を'『治める』,管理運営する 
(…に対して)…'を'執行する,実行する(carry out)《+『名』+『to』+『名』》 
(…に)〈薬・手当て・援助など〉'を'与える《+『名』+『to』+『名』》 
(…に)〈一撃・非難・叱責など〉'を'与える,浴びせる《+『名』+『to』+『名』》 
(…に)寄与する,役立つ《+『to』+『名』》",His father administers some companies.,彼の父は会社をいくつか運営している。
administrative,行政の,ədˈmɪnəˌstreɪtɪv,"『行政上の』;『管理の』,経営の","The widespread application of administrative guidance is considered to be a uniquely Japanese practice in which bureaucrats exert authority, without any legal backing, telling the private sector what to do and what not to do.",行政指導が広範囲に用いられることは、日本特有のやり方だと考えられている。これにより、官僚は民間に対して、ああしろ、こうしろ、ああするな、こうするな、という強い権限を法律の裏づけなしに行使することができる。
administrator,管理者,ədˈmɪnəˌstreɪtər,"為政者,行政官 
(遺産としての不動産の)管理者",You will receive a confirmation email after your account has been activated by an administrator.,管理人によってアカウントの認証が行われたあと、あなたに確認のメールが送られます。
admission,入場,ædˈmɪʃən,"〈U〉(場所・学校・会などへ)『入ることを許すこと』,入場(入学,入会)許可,(…へ)入る権利《+『to』+『名』》 
〈U〉(…への)入場料,入学(入会)金《+『to』+『名』》 
〈C〉(事実・誤りなどを)認めること,白状,容器",What a mess...I suppose there's nothing for it but restricting admissions. Handing out numbered tickets or something.,最悪・・・入場制限を設けるしかないでしょう。整理券の配布とかで。
adoption,"【名】養子縁組【U】(新しい方式などの)採用,採択; (外国語の)借用",əˈdɑpʃən,"(考え・方法・規則・法案などの)採用,採択《+『of』+『名』》 
養子縁組",the adoption of their amendments would have amounted to an evisceration of the act,それらの修正を適応していれば、結局その法令を骨抜きにしてしまっていただろう
adverse,"不都合な,不利な；有害な；敵対的な；反対の",ædˈvɜrs,"反対の,逆の 
逆方向の",Is there any adverse reaction?,副作用はありませんか。
advertiser,広告主,ˈædvərˌtaɪzər,"広告者,広告主","Yoshimoto hated to be called the founder of Naikan and said in his lectures, ""I'm just a showy advertiser of Naikan.""
","吉本自身は自らは創始者と呼ばれることを嫌い「わては内観のチンドン屋です」と講演などで話していた。
"
advisor,顧問,ædˈvaɪzər,"忠告者,助言者;顧問 
《米》(大学の)新入生指導教師",The company engaged him as an advisor.,会社は彼を顧問として雇った。
advisory,顧問の、忠告の,ædˈvaɪzəri,"勧告の,忠告の;諮問の","But he became serious and in an advisory manner told me not to make many complaints about the school.
","あと から 真面目 （ まじめ ） に なっ て 、 君 あまり 学校 の 不平 を 云う と 、 いかん ぜ 。
"
affiliate,"系列組織；加入させる, 提携させる",əˈfɪliˌeɪt,"(規模がさらに大きいグループに)…'を'加入させる,合併する,提携させる《+『名』+『with』(『to』)+『名』》 
(…に)加入する《+『to』+『名』》;(…と)合併する,提携する《+『with』+『名』》 
加入者,会員,《米》支部",We are affiliated with the new joint venture company.,うちの会社はあの合弁会社と提携している。
affordable,【形】手ごろな価格の；入手可能な,əˈfɔrdəbəl,"【形】手ごろな価格の；入手可能な
《困難などが》耐えられる
（類語：reasonable）",I hope you can join us at these very important July DCA meetings and complement your stay by exploring some of the many affordable charms of Tokyo.,この重要な７月のＤＣＡ会議にご出席いただき、さらにご宿泊中に東京の多様な魅力もお楽しみくださるよう希望しています。
afterward,その後,ˈæftərwərd,"『あとで』,以後,その後",I felt very light on my feet afterwards.,終わったあとも足が軽い感じがしました。
aggregate,"集合(体), 集団；総計；集成岩；総計の, 総合の; 集合した；総計でC〈数量〉となる；集まる",ˈægrɪgɪt,"…'を'集める 
総計(…に)なる《+『to』+『名』》 
集まった,総計の 
集合体 
〈U〉〈C〉(砂利など)骨材 
《the ~》総計,総額",raspberries are aggregate fruits,キイチゴは集合果である
agriculture,農業,ˈægrɪˌkʌlʧər,"『農業』,農学",He went to a college of agriculture.,彼は農業大学へ行きました。
airport,空港,ˈɛrˌpɔrt,『空港』,This airport doesn't have as many flights as New Chitose Airport and even looking from the observation deck at first there were no planes.,この空港は新千歳空港ほど便数が多くないので、送迎デッキから見ても最初は飛行機がいませんでした。
alas,"嗚呼；残念ながら,悲しいことに.",əˈlæs,"ああ,あわれ(悲しみ・後悔などを表す声)","but, alas!
","でも ざ ん ね ん ！
"
albeit,（接）...だけれども；たとえ…でも,ɔlˈbiɪt,"…にもかかわらず,たとえ…でも(although)","It tastes very similar albeit on the sweet-and-sour side.
","味は甘酸っぱい傾向があるもののほぼ同じ。
"
alert,警報,əˈlɜrt,"『油断のない』,用心深い 
(頭の回転・動作などが)機敏な 
(動作が)敏しょうな 
〈U〉《しばしばthe ~》警戒,用心 
〈C〉警報;警報発令期間 
(…に対して)…‘に'警報(警告)を出す,警戒態勢をとらせる《+『名』+『to』+『名』》",The soldiers were on the alert.,兵士達は厳戒体制にあった。
algorithm,アルゴリズム,ˈælgəˌrɪðəm,アルゴリズム(最大公約数を求める互除法などの演算方式),"A more complex design could also have been flexible enough to crack other encryption algorithms. 
","もっと 複雑 な 設計 に すれ ば 、 ほか の 暗号 アルゴリズム を クラック できる だけ の 柔軟性 も もて た だろ う 。
"
align,一直線にする；提携する,əˈlaɪn,"…'を'一列に並べる,整列させる 
(…と)…'を'提携させる,連合させる《+『名』+『with』+『名』》 
一列に並ぶ 
(…と)提携する《+『with』+『名』》","However, because Northern Chinese Zen was abandoned earlier, the version handed-down to Japan comes from the sect that aligns itself with the practice of Southern Chinese Zen that advocated sudden enlightenment.
","だが、北方禅は先に廃れたため、日本に伝わったのは、突然の悟りを説く南方禅の流れを汲む宗派である。
"
alike,【形】似ている；同様である【副】同じように；等しく,əˈlaɪk," 【形】《複数の人・物が》似ている《similar》
同様である
【副】同じように
《A and B》AもBも等しく《similarly)》",They are all alike to me.,彼らは私から見れば皆同じです。
allegation,申し立て,ˌæləˈgeɪʃən,"(十分な証拠を持たない)主張,申し立て","When Mr Balfour replied to the allegations that the Roman Empire sank under the weight of its military obligations, he said that this was 'wholly unhistorical.'
","ローマ帝国 は 軍事 的 義務 負担 の 増大 で 没落 し た という 論拠 なき 主張 に 答え て 、 バル フォア 氏 は それ は 『 まったく 史実 に 反する 』 と 言っ た 。
"
allegedly,伝えられるところでは,əˈlɛʤədli,"申し立てによれば,伝えられるところでは","However, a document describing that he died through the practice of Nyujo (Sokushinbutsu - Buddhist monks or priests who allegedly caused their own deaths in a way that resulted in their being mummified) appeared later (described later in details).
","しかし後代には、入定した（即身仏となった）とする文献が現れる（詳しくは後述）。
"
alliance,同盟；提携,əˈlaɪəns,"〈U〉〈C〉(国家間の)同盟,協定;〈C〉同盟国 
〈U〉〈C〉(個人・組織間の)協力,提携 
〈U〉〈C〉(…との)縁組み,姻戚関係;交友《+『with』+『名』》","A WILD ASS and a Lion entered into an alliance so that they might capture the beasts of the forest with greater ease.
","野生 の ロバ と ライオン が 、 一緒 に 狩り を し た 。
"
allocate,割り当てる,ˈæləˌkeɪt,"(…に)…'を'配分する,割り当てる《+『名』+『to』(『for』)+『名』》",she allocated part of the trust to her church by appointment,彼女は財産帰属人指名により信託財産の一部を所属の教会に割り当てた
allocation,割り当て,ˌæləˈkeɪʃən,"(…への)割り当て,配置;〈C〉割り当て額(量)《+『to』(『for』)+『名』)》","ASIC Register Allocation 
","ASIC レジスタ わりあて
"
allowance,手当,əˈlaʊəns,"『割り当て』;(定期的な)手当,こづかい 
値引き,割引き",It should be noted that the duty continues after a notice of allowance is mailed and the issue fee is paid.,義務は、許可通知の後、発行料を支払った後、も続く点に留意。
alpha,アルファ；初めのもの,ˈælfə,"アルファ(ギリシア語アルファベットの第1字Α,α;英語のA,aに相当) 
アルファ星(星座の主星)",alpha version,アルファ・バージョン
aluminum,アルミニウム,əˈlumənəm,《米》アルミニウム(金属元素の一つ;化学記号は『Al』;《英》alminium),"Chirori was made of copper or tin in the past and in recent years there are chirori made of aluminum.
","かつては銅または錫製、近年ではアルミ製の物もある。
"
ambassador,大使,æmˈbæsədər,『大使』,Her ambition is to become an ambassador.,彼女の大望は大使になることです。
ambition,野心,æmˈbɪʃən,"『大望』,野心,野望 
〈C〉大望(野心)の対象(目的)",Ambition drove him to murder.,野望のために彼は殺人を犯した。
ambitious,野心的な,æmˈbɪʃəs,"『大望を抱いた』,野心のある,大志を抱いた 
(仕事・計画などが)野心的な,大がかりな;(悪い意味で)大げさな,高望みの",a large Praetorian bureaucracy filled with ambitious...and often sycophantic people makes work and makes trouble- Arthur M.Schlesinger Jr.,野心で満たされた大きな法務官の官僚機構…そしてしばしばゴマをする人々が仕事と問題を作る−アーサー・M・シュレシンジャー・ジュニア
amend,修正する,əˈmɛnd,"…'を'『改める』,改良する 
(正式に)〈議案など〉'を'修正する,改正する 
品行を改める,行いを良くする",The constitution was amended so that women could vote.,婦人参政権を認めるように憲法が修正された。
amid,の真ん中に；の最中に,əˈmɪd,"【前置詞】…の中に;…のまっさい中に
（=mid）",She was standing amid the ruins of the castle.,彼女は城の廃墟の中にたたずんでいた。
amongst,【前】～の間に；～の中の,əˈmʌŋst,=among,I don't like families that quarrel amongst themselves.,お互いに言い争いをする家族は嫌いです。
amortization,【名】償却,ˌæmərtɪˈzeɪʃən,【名】償却,"(Mutatis Mutandis Application of Provisions on the Amortization of Business Expenditures, etc.)
","（事業費等の償却等に関する規定の準用）
"
amortize,【動/他】を定期的に返済する；を償却する,ˈæmərˌtaɪz,〈抵当・負債など〉'を'清算する;(特に減債基金で)…'を'償却する,"Article 54  For the purpose of applying the provision of Article 113, paragraph (1) of the Current Act to any amount of the incorporation expenditures prescribed in Article 85, paragraph (1) of the Former Act or the business expenditures for the initial five years pertaining to an Insurance Company Licensed under the Former Act that has not been amortized by the time when this Act enters into force, such amount shall be deemed to have been credited to assets on the balance sheet pursuant to the provision of Article 113, paragraph (1) of the Current Act.
","第五十四条　旧法の免許を受けた保険会社に係る旧法第八十五条第一項に規定する設立費用及び初めの五年度の事業費で、この法律の施行の際まだ償却されていない金額は、新法第百十三条第一項の規定により貸借対照表の資産の部に計上しているものとみなして、同項の規定を適用する。
"
analytic,"【形】分析的な,分解的な,解析的",ˌænəˈlɪtɪk,"【形】分析的な,分解的な,解析的
（analyticalと同義）",analytic statics,分析的避難
analytical,"【形】分析的な,分解的な,解析的",ˌænəˈlɪtɪkəl,"【形】分析的な,分解的な,解析的
（analyticに同義）","Since the Showa period, the medical effect of hot springs has been verified thanks to the advance of hot spring medicine and analytical chemistry and the range of users of hot springs have widened.
","昭和以降は温泉医学及び分析化学の進歩によって温泉のもつ医療効果が実証され、温泉の利用者も広範囲に渡った。
"
anniversary,記念日,ˌænəˈvɜrsəri,"(年ごとの)『記念日』,記念祭 
記念日の",Today is our anniversary so let's make this a special dinner.,今日は私達の記念日なので、夕御飯もスペシャルでいこう。
annualize,【動/他】…を年率に換算する；...を年間で計算する【動/自】年間で...になる。,ˈænjuwəˌlaɪz,"【動/他】…を年率に換算する；...を年間で計算する
【動/自】年間で...になる。","When annualized, the quarterly gain represents a 4% growth.",年率に換算すると、この四半期の増加は４％の成長になる。
annually,毎年,ˈænjuəli,"年々,毎年 
年に1回",The conference takes place annually.,その会議は毎年開催される。
annuity,年金,əˈnuəti,"年金,年賦金",The law enables us to receive an annuity.,その法律は我々に年金を受け取る権利を与えている。
annum,【名/C】年,ˈænəm,"【名/C】年
（per annum「毎年、年ごとに」の形で使われる）","Article 5  In the interests of the appropriate enforcement of this Act, the Minister of Justice shall designate inspectors from among his/her staff and order the inspectors to conduct on-the-spot inspections at each penal institution at least once per annum or more frequently.
","第五条　法務大臣は、この法律の適正な施行を期するため、その職員のうちから監査官を指名し、各刑事施設について、毎年一回以上、これに実地監査を行わせなければならない。
"
anti,【接頭辞】反…；非…；対…；抗…；不…,ˈænti,《話》(特定の慣習・政策・行動などに)反対する人,It's only the anti-war pinkos who say things like Saddam isn't a threat.,サダムが脅威でないなどと言うのは、赤がかった反戦運動の人達くらい。
antitrust,"【形】トラスト反対の,独占禁止の",ˌæntaɪˈtrʌst,"【形】トラスト反対の,独占禁止の",trust busting : government activities seeking to dissolve corporate trusts and monopolies (especially under the United States antitrust laws),トラスト・バスティング：法人の受託を溶かそうとする政府の事業と独占（米国反トラスト法の特に下の）
appetite,食欲,ˈæpəˌtaɪt,"『食欲』 
(…に対する)『欲求』,切望(desire)《+『for』+『名』》",The sad news took away his appetite.,悲しい知らせに彼は食欲がなくなった。
apple,林檎,ˈæpəl,『リンゴ』;リンゴの木,The orchardist grafted an apple bud onto the rootstock.,果樹栽培者がリンゴの接ぎ穂を台木に接ぎ木しました。
appliance,器具,əˈplaɪəns,"(特に家庭で用いる)器具,機械,装置",Electrical appliances have made housework easier.,いろいろな電気製品のおかげで家事が楽になった。
applicable,適用できる；応用できる；効力がある；ふさわしい；該当する,ˈæpləkəbəl,適用(応用)できる;(…に)適用できる《+『to』+『名』》,Is that rule applicable to us foreigners?,その規則は我々外国人にも当てはまりますか。
applicant,申請者,ˈæplɪkənt,"(…に対する)志願者,応募者《+『for』+『名』》",Does the applicant have suitable abilities to carry out the job?,応募者にふさわしい職務遂行能力があるか？
appraisal,鑑定,əˈpreɪzəl,評価;鑑定;(物の)値踏み,There are many cases where an appraisal can't be made on the spot.,現場からは評価されないケースが多々有ります
appreciation,感謝,əˌpriʃiˈeɪʃən,"〈U〉(…を)『正しく認識すること』,(…の)識別,評価《+『of』+『名』》 
〈U〉《時にan~》(文学・芸術などの)理解,鑑賞;批評,論評《+『of』+『名』》 
〈U〉(…に対する)感謝《+『for』+『名』》 
〈U〉《時にa~》(価格の)騰貴","A smile may convey understanding, joy, or an appreciation of humor.",微笑みは、理解、喜び、あるいはユーモアを解したことを伝えることが出来る。
appropriately,適当に,əˈproʊpriɪtli,"適当に,適切に,ふさわしく","If the intellect and judgment of mankind ought to be cultivated, a thing which Protestants at least do not deny, on what can these faculties be more appropriately exercised by any one, than on the things which concern him so much that it is considered necessary for him to hold opinions on them?
","プロテスタント は 少なくとも 否定 し ない でしょ う が 、 人類 の 知力 と 判断 力 が 鍛え られ なけれ ば なら ない と し たら 、 だれ でも 、 自分 にとって 、 それら について の 意見 を 持つ こと が 必要 だ と 思う くらい に 関心 が 深い 事柄 ほど 、 こうした 能力 を もっと 適切 に 行使 できる もの が ある でしょ う か 。
"
approximate,【形】近似の　【動/他】近づける、概算する,əˈprɑksəmət,"(数量の点で)『近似の』・おおよその 
《『approximate to』+『名』》(…に)『近い』,ほぼ等しい 
(ある状態・量・額などの点で)…‘に'『近づく』,接近する 
(…の額に)…'を'概算する,見積もる《+『名』+『at』+『名』》",We can only know her approximate age.,彼女のおおよその年齢しか知らない。
approximation,近似値,əˌprɑksəˈmeɪʃən,"接近,近似 
概算 
近似値","to scan in images of the pages, then convert the images into an approximation of the text on the pages.
","まず 最初 に 、 ページ の 画像 を スキャン する こと 、 そして その 画像 を 、 ページ 上 の テキスト に 近い もの に 変換 する こと だ 。
"
arbitrage,【名/U】（為替・株式などの）さやとり売買；裁定取引,ˈɑrbɪˌtrɑʒ,【名/U】（為替・株式などの）さやとり売買；裁定取引,"practice arbitrage, as in the stock market",株式市場などで裁定取引を行う
arbitrary,【形】任意の；恣意的な；独断的な；専制的な,ˈɑrbəˌtrɛri,"随意の,任意の,気まぐれな(capricious) 
独裁的な,独断的な,専横な(despotic)",Our decision to go to Portugal was quite arbitrary.,私たちがポルトガルへ行こうと決めたのはまったくの気まぐれだった。
arbitration,仲裁,ˌɑrbɪˈtreɪʃən,"仲裁,裁定;仲裁裁判","?to develop written codes of good practice for resolving the various sorts of disputes that can arise in connection with open-source projects, and a tradition of arbitration in which senior members of the community may be asked to mediate disputes. 
","―― オープン ソース ・ プロジェクト と の かかわり で 生じる 可能 性 の ある さまざま な 紛争 を 解決 する ため の よい 方法 を 、 明文化 し た コード として 開発 し 、 コミュニティ の 長老 メンバー が 紛争 調停 を 行う よう な 、 仲裁 の 伝統 を つくりあげる こと だ 。
"
architect,建築家,ˈɑrkəˌtɛkt,"『建築家』,建築技師 
(特に長期にわたる作業計画・事業などの)創始者,創案者,計画者",The architect achieved worldwide fame.,その建築家は世界的名声を獲得した。
archive,"【名/C】古記録,公文書；古記録保管所【動/他】を保管する【形】古記録の",ˈɑrˌkaɪv,"【名/C】《通例~s》古記録,公文書
《通例~s》古記録保管所
【動/他】（文書など）を保管する；（データ）をアーカイブに格納する,保存用メディアに移す
【形】古記録の,公文書の","as does the proof that a given manuscript of the Middle Ages stems from an archive of the fifteenth century.
","ちょうど 、 十五 世紀 の 書庫 から 出 て き た 本 が 中世 の もの だ という 証明 書 が 証明 する よう に 。
"
arguably,"【副】まず間違いなく,十分論証できることだが；議論の余地はあるかもしれないが",ˈɑrgjuəbli,"【副】《文修飾・しばしば最上級・比較級の前で》まず間違いなく,十分論証できることだが
議論の余地はあるかもしれないが
きっと,おそらく",she is arguably the best,彼女は恐らく間違いなく最高である
array,整列；配列；配置される,əˈreɪ,"〈軍隊など〉'を'整列させる,配置する 
《文》〈人〉‘に'衣類を着せる,(特に)〈人〉'を'盛装させる 
〈U〉整列,陳列 
(…の)整列(配置)した物(人),勢ぞろい《+『of』+『名』(複数)》 
〈U〉衣装,(特に)美しい装い",The value of the In Record will be set into some array variables.,ＩｎＲｅｃｏｒｄの値を、複数の配列変数に設定します
artificial,人工的な,ˌɑrtəˈfɪʃəl,"『人造の』,『人工の』,人為的な 
模造の 
不自然な,見せかけの",I found them lying on the artificial grass.,彼らは人工芝の上に横たわっていた。
aspect,側面,ˈæˌspɛkt,"〈C〉〈U〉《文》(人の)『顔つき』,『表情』 
〈C〉〈U〉(物の)『外観』,『様子』 
〈C〉(思想・状況・計画などの)『様相』,局面,面 
〈C〉(家・部屋などの)向き,方向",We must examine the various aspects.,多角的に見なければならない。
assault,暴行,əˈsɔlt,"(暴力で,時に比喩(ひゆ)的な意で)(…を)『襲うこと』,強襲,攻撃《+『against』(『on』)+『名 』》 
(法律用語で)暴行 
〈場所〉'を'襲撃する;〈人〉‘に'暴行を加える 
〈人・物〉'を'非難する",The King was assaulted by terrorists.,王はテロリストに襲われた。
assemble,組み立てる,əˈsɛmbəl,"(ある目的で)〈人・物〉'を'『集める』,集合させる 
(部品を集めて)〈機械など〉'を'『組み立てる』 
…'を'整とんする,きちんと並べる 
(人が)集まる,会合する(meet)",The president assembled his advisers for a conference.,社長は会議のために顧問たちを集めた。
assembly,議会；集会；組み立て,əˈsɛmbli,"〈C〉(特定の目的をもった)『集会』,『会合』,会議 
《A-》(米国州議会の)下院 
〈U〉(機械の)組立て;〈C〉組立て部品",The assembly consisted of people concerned about human rights.,その集会は人権に関心を持つ人々の集まりだった。
assert,主張する,əˈsɜrt,"…'を'『断言する』,力説する(affirm)",She firmly asserts that she will not sing in front of anybody.,彼女は誰の前でも歌わないと断言している。
assertion,主張；明言,əˈsɜrʃən,"〈C〉(しばしば根拠のない)『断言』,主張 
〈U〉主張(断言)すること","Our evidence supports this assertion:
","手元 の 証拠 も この 説 を 支持 し て いる 。
"
assignment,割り当て,əˈsaɪnmənt,"〈C〉割り当てられた仕事(持ち場,任務);《米》(学校の)宿題 
〈U〉(仕事などに)任命する(される)こと,(日時などを)指定すること《+『to』+『名』》",She asked me to help her with her assignment.,彼女は私に宿題を手伝ってくれるように頼んだ。
assurance,保証,əˈʃʊrəns,"〈C〉『保証』,請け合い 
〈U〉『確信』,自信 
〈U〉《英》保険(insurance)",OK. I'm just next door so if you can get that assurance let me know.,ＯＫ。隣にいるから、言質とれたら教えて。
asylum,"【名/C】保護収容所,養育院【名/U】避難；保護",əˈsaɪləm,"(孤児・盲人・狂人などの)保護収容所,養育院;〈U〉避難,保護","they're just like the inmates of a lunatic asylum.
","気 狂 会 （ きち が いか い ） です 。
"
atom,原子,ˈætəm,"『原子』 
微量,非常な少量;《a~》微量,わずか(の…)《+『of』+『名』》",Behind thermodynamics lie the movements of atoms and molecules following the laws of motion learned in the first volume.,熱力学の背後には、第１巻で学んだ力学の法則にしたがう原子や分子の運動があります。
attain,【動/他】を達成する；に達する【動/自】《...に》到達する《to》,əˈteɪn,"【動/他】〈目的・望みなど〉'を'『達成する』,獲得する(gain, accomplish) 
〈高い所・ある年齢など〉‘に'『達する』(reach, come to) 
【動/自】(努力して)(…に)到達する《+『to』+『名』》",He attained his hopes.,彼は望みを達成した。
attorney,代理人,əˈtɜrni,"《米》=lawyer 
代理人",He trusted his defense attorney.,彼は弁護士を信頼していた。
attributable,(be)に起因すると思われて；せいと考えられていて,əˈtrɪbjətəbəl,"(原因などが)(…の)せいにできる,(…に)起因する;(…に)備わった;(…の)作と考えられる《+『to』+『名』》","In the meantime, there has been a change in geigi's thinking and some geigi decline an offer of the prospective dannna-sama in favor of ordinary lifestyle or marriage which seems attributable to changes of the times.
","一方の芸妓にも意識の変化があり、仮に申し込んだ場合に断り通常の生活や結婚を望むという芸妓もおり、やはり時代の変化と言える。
"
auction,競売,ˈɑkʃən,"〈C〉〈U〉『競売』,せり売り 
〈U〉=auction bridge 
〈物〉'を'競売にかける,せり売りする","I also, same as you, don't trust Yahoo Auction ratings.",あなた同様私もヤフオクの評価が信じられません。
