英単語,訳,発音,英語の意味,解説,用例,用例・訳
hungry,空腹の,ˈhʌŋgri,"in need of food, needing to eat","『飢えた』,空腹の;空腹にさせる 
《補語にのみ用いて》(…を)熱望して,渇望して《+『after』(『for』)+『名』》 
(土地などが)不毛の,やせた",The point is that they are hungry.,要するに彼女たちは腹が減っているのだ。
icy,氷の；氷のような；氷の張った；冷淡な,ˈaɪsi,made of ice,"『氷の』,氷で覆われた 
『氷のように冷たい』 
冷淡な,よそよそしい",She gave me an icy look.,彼女は私を冷たい目で見た。
incomplete,不完全な,ɪnkəmˈplit,not yet finished,不完全な;未完成の,Carbon monoxide is a poisonous substance formed by the incomplete combustion of carbon compounds.,一酸化炭素とは炭素化合物の不完全燃焼で発生する有害物質です。
indoor,屋内,ˈɪnˌdɔr,inside a house or building,"『室内の』,『屋内の』","It was very cold last night, so we didn't go outside, but stayed indoors.",昨日はとても寒かった、だから私たちは外にでないで家にいました。
inexpensive,安価な,ˌɪnɪkˈspɛnsɪv,having a low price; cheap,"安い,費用のかからない",I'd like the most inexpensive room you have for four nights.,一番安い部屋を１室、４泊お願いします。
inexperience,未経験,ˌɪnɪkˈspɪriəns,to not have much practice with something,"経験のないこと,未熟,不慣れ","He is young and inexperienced, but quite enterprising.",彼は若くて未経験だがやる気満々だ。
internet,【名】インターネット,ˈɪntərˌnɛt,"the information highway, the worldwide web","【名】《The ~》インターネット
 (単にthe net, the Netともいう)",Among the Internet sites that publish information on education related businesses are those given below.,教育産業に関する情報を掲載したインターネットサイトには以下のようなものがあります。
lately,近頃,ˈleɪtli,recently,"『近ごろ』,最近",I haven't seen anything of Mr Kimura lately.,最近木村君に少しも会わない。
locally,場所の上から；局所的に,ˈloʊkəli,in a specific area,"地方的に,局部的に;近くに",a locally based business,地元密着型のビジネス
loudly,大声で,ˈlaʊdli,in a manner that is not quiet,"『大声で』,『騒々しく』,声高に 
はでに,けばけばしく",I felt like singing loudly when the exam was over.,試験が終わった時、大声で歌いたい気がした。
machinery,機械,məˈʃinəri,"tools, equipment","《集合的に》《単数扱い》『機械』 
《集合的に》機械の部品;機械装置 
(社会・政治などの)機構,組織《+『of』+『名』》","In addition to the general curriculum there are tutorials in the essentials of machinery, training is also carried out for skills in and learning how to use the various types of machinery.",普通科目の他に機械についての基礎的な事柄を学習し、 各種の機械の使用法や技術を身につける実習などを行います。
managerial,経営者の,ˌmænɪˈʤɪriəl,to do with management or supervision,《名詞の前にのみ用いて》経営上の;経営者の,Bringing out the abilities of individuals holds the key to managerial success.,個人の持つ能力をどう引き出すかがマネジメント成功のカギを握ります
meaningful,"【形】《...にとって》有意義な,意義のある《to / for》；《人に》理解しやすい《to》",ˈminɪŋfəl,to have a meaning or purpose,"【形】《...にとって》有意義な,意義のある《to / for》
《人に》理解しやすい《to》",a meaningful explanation,意味のある説明
mileage,総マイル数；走行距離,ˈmaɪləʤ,distance travelled in miles,"《時にa ~》(一定期時に走った)総マイル数 
《時にa ~》(一定量の燃料による)自動車走行マイル数 
《時にa ~》マイル当たりの費用 
《話》使用[量];利益",What is the fuel mileage of this car?,この車の燃費はどれくらいですか。
mislead,"【動/他】（人）を誤って道案内する；（人）を誤らせる,誤解させる",mɪsˈlid,to lead someone in the wrong direction or give someone wrong directions,"【動/他】〈人〉‘を'誤って道案内する 
〈人〉‘を'誤らせる,誤解させる","That it is enough if there is always somebody capable of answering them, so that nothing likely to mislead uninstructed persons remains unrefuted.
","また 、 それ に 答える 能力 の ある 人 が いつも い さえ すれ ば 、 教育 の ない 人 たち を 誤らせる よう な もの に は 反駁 せ ず に は おか ない ので 、 それ で 十分 だ と も 。
"
mister,さん；だんな；あなた,ˈmɪstər,a form of address for a man,"《M-》…『さん』,…氏,…様,…殿,…先生 
《話》《単独で呼び掛けとして用いて》あなた,君,だんな 
〈C〉…さんと呼ばれるだけの人,普通の人","""Now, then, mister,""
","「 な あ 、 ちょっと あんた 」
"
nationwide,全国の,ˈneɪʃənˈwaɪd,all across the country,全国的な,The police have started a nationwide hunt for the criminal.,警察は犯人の全国的な捜索を開始した。
neat,【形】きちんと整った；小ぎれいな；きれい好きな；さっぱりした,nit,"tidy, clean","(見た目に)『きちんと整った』,小ぎれいな 
(人などが)きれい好きな;(服装などが)さっぱりした 
(やり方・話し方などが)手ぎわのよい 
《米話;現在はまれ》すばらしい,すてきな 
《話》(酒などが)水で割らない,ストレートの",There was a neat pile of books in the corner of the room.,部屋の隅に本がきちんと積み重ねられていた。
noisy,うるさい,ˈnɔɪzi,too loud,"(人・声などが)『やかましい』,騒々しい,(場所が)騒音に満ちている",It's noisy next door.,隣の部屋がうるさいのです。
outdoor,アウトドア,ˈaʊtˌdɔr,outside in the open air,"『戸外の』,野外の",It's a lot of fun playing outdoors.,野外で遊ぶ事はとても楽しい。
painter,画家,ˈpeɪntər,an artist who paints,"『画家』 
ペンキ屋",Style is to the writer what color is to the painter.,文体が作家に持つ関係は、色彩が画家に対するのと同じである。
partial,"【形】一部分の,部分的な；不完全な；不公平な,偏った；《Aが》特に好きで《be ~ to A》",ˈpɑrʃəl,to be a part of something whole,"【形】(また『part』)『一部分の』,部分的な;不完全な 
不公平な,偏った 
《補語にのみ用いて》《Aが》特に好きで《be ~ to A》",She is in partial agreement with this decision.,彼女はこの決定に部分的に同意している。
partially,部分的に,ˈpɑrʃəli,In part; in some degree; not wholly,"部分的に,一部分 
不公平に,偏って","Version 1.0 of this document was prepared December 10, 2003 to partially fulfill the requirements for MIT 6.806: Ethics and Law on the Electronic Frontier, 
","本 文書 の バージョン 1 . 0 は 、 MIT 講義 6 . 806 : 「 電子 フロンティア における 倫理 と 法 」 の 修了 要件 を 部分 的 に 満たす べく 2003 年 12 月 10 日 に 書か れ た 。
"
payable,支払う必要のある；支払い可能な；支払われる,ˈpeɪəbəl,an amount of money due,"(金を払っても)採算のとれる 
《補語にのみ用いて》(…に)支払われるべき《+『to』+『名』》",Checks should be made payable to the ABC Company.,小切手はＡＢＣ社あてに支払われるように振り出してください。
photographer,写真家,fəˈtɑgrəfər,someone who takes pictures for a living,"写真をとる人,(特にプロの)写真家",She's a good photographer because she's so observant.,彼女は観察力が鋭いので写真家として優れている。
photography,写真術,fəˈtɑgrəfi,the art of taking pictures,写真術,"I'm introducing some pictures I took, dabbling in photography, along with my diary.",下手の横好きで撮影している写真を日記とともに紹介しています。
placement,配置,ˈpleɪsmənt,the act of placing someone in a job or the location of something,"置くこと,配置 
職業紹介 
(アメリカンフットボールで)プレーキックのためボールを地に置くこと",the agency provided placement services,その仲介業者は就職斡旋の業務を行った
planner,プランナー,ˈplænər,a person who makes plans,"計画者,立案者","At this point in time, it was known by Korean military planners that the most powerful inhabitants of Tsushima were away on voyages to Ming China and elsewhere, and moreover as the invasion was launched they ordered the simultaneous internment of all Japanese merchants living and operating within Korea, revealing how carefully they had planned this assault to take advantage of the weakness of Tsushima's defensive preparations and target the general population (not only the Wako).
","この時期は対馬の有力者が明などに渡航し不在であることを知り、また同時に朝鮮国内の在留商人らを一斉に抑留するなど、防備の弱体に乗じ一般民衆を標的にした周到な計画であったことが知られる。
"
poorly,【副】貧しく、不完全に　【形】健康がすぐれない,ˈpurli,Badly; not enough; not sufficient,"『貧しく』,乏しく,不十分に 
『へたに』,まずく 
健康がすぐれない,病身な","Thanks to a cold summer, beer has sold poorly.",冷夏のおかげで、ビールの売れ行きはよくなかった。
postage,送料,ˈpoʊstəʤ,the charge for mailing something,"『郵便料金』,郵送料",The price includes postage charges.,その値段は郵便料金を含みます。
postal,"郵便(局)の, 郵便による",ˈpoʊstəl,of or relating to the system for delivering mail,『郵便の』,Postal services are a government monopoly.,郵政事業は政府の独占事業です。
pottery,陶器,ˈpɑtəri,"earthenware, stoneware, ceramics","〈U〉製陶術,陶器製造 
〈U〉《集合的に》陶器類 
〈C〉陶器製造所",Saturday is the pottery class I've been attending since last year.,土曜日、去年から通い始めた陶芸教室。
presenter,発表者；賞の授与を行う人；司会者,ˈprɛzəntər,a person who shows and explains something to an audience,テレビ(ラジオ)ショーの司会者,"Koji (a presenter of poems) says ""at the beginning of the New Year, as usual, poems on the theme of - are presented on the orders of the Emperor,"" and this starts the recitation of poems.
","講師が「年の始めに、同じく、（お題）ということを仰せ事に依りて、詠める歌」と言い、披講が始まる。
"
probable,"【形】ありそうな, 起こりそうな【名/C】起こりそうなこと / 何かしそうな人 / 予想される勝利者",ˈprɑbəbəl,"possible, but not certain to be or become true or real","『ありそうな』,起こりそうな 
起こりそうなこと;何かしそうな人,予想される勝利者,有望な候補者",It is probable that he is ill.,彼は病気なのかもしれない。
programmer,プログラマー,ˈproʊˌgræmər,a person who designs and writes and tests computer programs,プログラム(番組)を作る人;(コンピューターの)プログラマー,Is she a computer programmer?,彼女はコンピュータープログラマーですか。
protective,"保護する, 防護用の",prəˈtɛktɪv,to want to keep safe,"保護の,保護する;(…を)保護する《+『toward』+『名』》","Birds, for instance, have a special protective device.",例えば、小鳥は特別な防御装置を備えている。
quarterly,"【形】年4回の,3か月ごとの 【副】年4回に,3か月ごとに 【名/C】年4回の刊行物,季刊誌",ˈkwɔrtərli,every 4 months,"【形】年4回の,3か月ごとの 
【副】年4回[に],3か月ごとに 
【名/C】年4回の刊行物,季刊誌",A quarterly growth of 1.2% means an annual growth rate of 4.8%.,四半期１．２％の成長は年率４．９％の成長率を意味する。
rainy,雨の,ˈreɪni,"water from the clouds, wet or showery","『雨の』,雨降りの;雨の多い 
雨にぬれた;雨模様の","As a result, we play ball inside on rainy days.",結果、雨の日は部屋の中でボール遊びをしています。
realistic,現実的,ˌriəˈlɪstɪk,to be reasonable or be close to real life,"『現実主義の』,現実的(実際的)な 
写実的な,写実主義の 
実在論の",The long discussion reached a realistic conclusion.,長い議論は現実的な結論に煮詰まった。
reconsider,考え直す,ˌrikənˈsɪdər,to think something over again,"…‘を'再考する,考え直す",Conflicting reports prompted the director to reconsider her position.,矛盾する報告を受けて、その役員は自分の立場を考え直した。
renew,更新する；再開する,rɪˈnu,to make something new again,"…‘を'『新しくする』 
〈若さなど〉‘を'取り戻す,回復する 
…‘を'『再び始める』 
…‘を'継続する,更新する,〈契約書など〉‘を'書き替える 
…‘を'新しいのと取り替える…‘を'補充する",Her words renewed my courage.,彼女の言葉で私は勇気をあらたにした。
renewal,更新；再開；書き換え,rɪˈnuəl,the act of making something new again,"〈U〉(…を)新しく直すこと,(…の)更新;復興;再生《+『of』+『名』》 
〈C〉新しくされた物,更新された物(証明書など)","When they stopped suddenly to catch their breath for a fiercer renewal of the fight, 
","彼ら は 、 いよいよ 激しく ぶつかり 合お う と 、 息 を 止め て 睨み合っ た 。
"
rental,賃貸料；賃貸のできる,ˈrɛntəl,the act of paying for the use of something (as an apartment or house or car),"〈C〉賃貸料,地代,家賃 
〈U〉(…を)借りる(貸す)こと,(…の)家賃,賃借《+『of』+『名』》 
〈C〉《米》賃貸するもの(家・土地・車など) 
賃貸の",We have 5 different server rental plans for customers.,お客様に５つの有料レンタルサーバープランをご用意しております
reopen,再開する,riˈoʊpən,to open again,"…‘を'再び開ける 
…‘を'再び始める 
再び開く,再び始まる",They reopened the theater,彼らは劇場を再開した
rewrite,書き直す；改正する,riˈraɪt,to write again differently,"…‘を'『書き直す』 
《米》〈記者からの報告〉‘を'新聞比事に書き直す 
書き直されたもの 
《米》(書き直された)記事","So I wrote a LISP interpreter and put it in in place of MOCKLISP and in the process I found that I had to rewrite many of the editor's internal data structures
","それで LISP インタープリタ を 書い て 、 MOCKLISP を すげかえ て 、 その 過程 で 、 エディタ の 内部 データ 構造 を 書き直さ なきゃ なら ない こと も わかっ た 。
"
rider,乗る人；添書き；付加条件,ˈraɪdər,someone who uses an animal or a bicycle or motorcycle for transport,"(馬などに)『乗る人』,乗り手 
(契約書などの)追加条項,補足条項",the thrown rider got back on his horse,投げられた乗り手は、彼の馬の上で戻った
rose,バラ；バラ色,roʊz,a red flower used to show love,"〈C〉『バラの花』 
〈C〉バラの木 
〈U〉バラ色,淡紅色 
〈C〉(形が)バラに似た物:(じょうろの)散水口;(リボンなどの)バラ結び;バラ模様(飾り) 
『バラ色の』 
バラの","""I was just admiring your roses. They're absolutely gorgeous."" ""Oh, I'm flattered. Thank you.""",「ついお宅のバラに見とれてしまってまして。本当に華やかですこと」「まあ、お上手ねえ。それはどうも」
runner,走る人；運び屋；逃亡者,ˈrʌnər,someone who travels on foot by running,"『走る人』,競桑者;(野球の)走者 
(昔の)使者,飛脚;使い走りする人;集金人 
(スケート・そりの)滑走部,すべり 
(廊下・階段などに敷く)細長いじゅうたん 
(細長い)テーブルセンター 
(イチゴなどの)匍匐(ほふく)枝,つる",The runners rounded the corner into the homestretch.,ランナーはコーナーを回ってホームストレッチへ入った。
safely,安全に,ˈseɪfli,in a way that is not dangerous,"『安全に』,無事に 
だいじょうぶ,さしつかえなく",Okay. Drive safely.,分かりました。気をつけて運転してください。
seller,売り手,ˈsɛlər,someone who promotes or exchanges goods or services for money,"売る人,売り手 
《good,bad,poorなどの形容詞と共に》売れるもの","After considerable argument, the buyer and the seller finally came to terms.",長々と協議した末に、売り手と買い手は結局折り合った。
sender,送信者,ˈsɛndər,someone who transmits a message,"発送人,送り主,差し出し人 
送信機,送話機","A mailbag from a single sender addressed to one recipient, as the name suggests, is for delivering a bag of printed matter.",同一差出人から同一受取人に宛てて郵袋という、文字通り袋に印刷物を入れて郵送します。
shipment,出荷,ˈʃɪpmənt,"delivery of goods, e.g. carried by a large vehicle","〈U〉船積み,積み込み,荷送り 
〈C〉積み荷;積み荷量",Please disregard this notice if your shipment has already been made.,もしも、すでに出荷されているのでしたらこのメールは無視してください。
shopper,【名/C】買い物客 / ちらし,ˈʃɑpər,someone who buys things in a store,"【名/C】買物客
広告ビラ,ちらし",Shoppers crowded the streets.,買い物客で通りは混んでいた。
shortage,不足,ˈʃɔrtəʤ,a lack of something,"『不足』,欠乏;〈C〉不足高",With a shortage of midwives added to that of obstetricians it has become clear all over again that our country's obstetric care is in an extremely grave situation.,産科医に加え、助産師も不足と我が国の産科医療が極めて深刻な状況にあることが改めて浮き彫りになった。
shorten,短くする；減じる；弱める,ˈʃɔrtən,to make smaller in length,"…‘を'『短くする』,縮める 
〈ケーキなど〉‘に'ショートニングを加えてさくさくさせる 
短くなる",High operating temperatures shorten lubricant life.,作動温度が高いと、潤滑剤の寿命は短くなる。
simplify,簡素化する,ˈsɪmpləˌfaɪ,make easier to understand,"…‘を'簡単にする,平易にする,単純にする","""this marriage rather simplifies matters.
","この 結婚 が 事 を 簡単 に し た 。
"
sleepy,眠い；眠そうな；活気のない,ˈslipi,"tired, ready for bed","『眠い』;眠そうな 
眠ったような,活気のない 
(ナシ・バナナなどが)うれ過ぎた","Since I stayed up late, I'm very sleepy.",夜更かしをしたので、とても眠いんだ。
snowy,"雪に覆われた, 雪の降る,雪のように白い",ˈsnoʊi,cold weather with snow falling,"『雪の』,『雪の降る』 
雪におおわれた,雪深い 
雪のように白い",If you don't have an accident on the snowy roads I think you should be able to get back safely.,雪道でアクシデントがなかったら、無事に帰って来れると思います。
sometime,いつか,ˈsʌmˌtaɪm,at some unknown point in time,"(未来の)『いつか』;そのうち 
(過去の)あるとき;以前 
かつての,以前の(former)",She sometimes mixes up fancies with realities.,彼女はときに空想と現実を混同することがある。
spacious,広々とした,ˈspeɪʃəs,lots of room or space,"(部屋・家などが)広い,ゆったりとした 
(空・海などの大苦間が)広大な",The room is spacious and light.,その部屋は広くて明るい。
specially,"【副】特に,わざわざ；特別に；並外れて",ˈspɛʃəli,in particular,"(比較変化なし)『特に』,わざわざ 
(普通ではなく)特別に 
並みはずれて,きわだって",It's equipped with a specially-developed server management system.,それが独自開発のサーバー管理システムを搭載しています
specialty,専門,ˈspɛʃəlti,something you are very good at,"専門,専攻 
特色,特性 
特製品,特別品",Do you know a good specialty store dealing in herbs?,ハーブの専門店を聞いたことがありませんか。
sticker,ステッカー；粘り強い人；突く人；難問,ˈstɪkər,a label with glue on the back,"ステッカー,のり付きラベル 
《米》いが;とげ 
《話》粘り強い人","Recently, easily-made sticker type senjafuda have increased and are used other than for religious purposes such as for business cards and some kind of amulet stuck to 'bachi' (drumsticks) of a drum master to inspire himself when he performs.
","最近では、手軽に作れるシール形式の千社札が急増しており、宗教的な用途以外にも、名札の代わりにしたり、気合を込めるの意味で太鼓の達人のプレイに使用する自作の撥に貼り付けたりと、様々な用途が生み出されている。
"
sunny,日のよく照る；日のよく当たる；明るい,ˈsʌni,a day with no clouds or rain just sunshine,"(天候・場所などが)『日のよくさす(当たる)』 
雲のない 
(物事が)明るい,陽気な,快活な",Tomorrow's weather should be sunny with occasional rain.,明日の天気は晴れ時々雨でしょう。
