英単語,訳,発音,英語の意味,解説,用例,用例・訳
freely,自由に,ˈfrili,"(living, existing) without being controlled","『自由に』;かってに 
『惜しげなく』,十分に 
率直に;無遠虜に 
自分から進んで",He freely praised her.,彼は手放しで彼女を誉めた。
generalization,一般化；一般概念,ˌʤɛnərəlɪˈzeɪʃən,making a statement about a group from limited data,"〈U〉一般化すること,概括すること 
〈C〉一般的な考え(説明,法則),一般論",I doubt these generalizations.,こういう一般化は疑わしい。
generalize,【動/自】一般化する；一般原理を引き出す；帰納する【動/他】を概括する；を帰納する；を一般化する,ˈʤɛnərəˌlaɪz,To apply a particular idea to a large group,"【動/自】一般化する；一般的に扱う(述べる) 
(いくつかの事実から)一般原理(法則)を引き出す；帰納する
〈一般的な原理・法則〉‘を'引き出す 
【動/他】…‘を'一般的に述べる,概括する
を帰納する
を一般化する",this kind of infection generalizes throughout the immune system,この種類の感染は免疫システム中で帰納される
goodness,よいこと,ˈgʊdnəs,nourishment; good food value,"(一般に)『優秀さ』,質のよさ,よい状態 
(人の)『親切』,優しさ,寛容,親切 
(食物などの)『よいところ』,精髄,滋養分 
《Godを遠回しに言って驚きを表す句に用いて》",She came up from goodness knows where.,彼女はどこからともなくひょっこりやってきた。
historically,歴史的に,hɪˈstɔrɪkəli,throughout history,"歴史的に,歴史上",historically they have never coexisted peacefully,歴史的に、それらは一度も平和的に共存したことがない
importantly,重要なことには,ɪmˈpɔrtəntli,in an important way;,重要性をもって;もったいぶって,"Never mind that. More importantly, if we don't go soon the time-limited sales will finish.",いいのよ。それより、早く行かないとタイムセール終わっちゃう。
interestingly,興味深いことに,ˈɪntəˌrɛstɪŋli,you'll find this surprising; in an interesting way,おもしろく;おもしろいことには,"Interestingly this happens to be the same heuristic that many relational database engines use to resolve deadlocks.
","おもしろい こと に 、 これ は 多く の リレーショナル データベース ・ エンジン が 、 デッドロック を 解決 する ヒューリスティク と まったく 同じ だ 。
"
locally,局所的に；地元で,ˈloʊkəli,Concerning the area around where you are,"地方的に,局部的に;近くに",a locally based business,地元密着型のビジネス
machinery,機械,məˈʃinəri,machines in general,"《集合的に》《単数扱い》『機械』 
《集合的に》機械の部品;機械装置 
(社会・政治などの)機構,組織《+『of』+『名』》","In addition to the general curriculum there are tutorials in the essentials of machinery, training is also carried out for skills in and learning how to use the various types of machinery.",普通科目の他に機械についての基礎的な事柄を学習し、 各種の機械の使用法や技術を身につける実習などを行います。
marker,標識；マーカー&nbsp;,ˈmɑrkər,something that is easy to recognize or identify,"印をつける人(道具) 
(ゲームなどの)採点者 
目印,目標","When and why it was made is a mystery; any theories, such as a marker of one of the four corners of the Kawahara-ji Temple's territory, a relic related to a kofun (tumulus) including Saruishi (Stone Monkey), or an unfinished product in the process of making a griffin statue in the era of Emperor Saimei, don't draw a conclusion.
","いつ、なんの目的で作られたかは謎で、川原寺の所領の四隅を示す石標、猿石を含めた古墳に関連する遺物、斉明天皇の時代にグリフィン像を造ろうとしたが加工途中で放棄されたものなど、いくつかの説がだされているが結論は出ていない。
"
meaningful,"【形】《...にとって》有意義な,意義のある《to / for》；《人に》理解しやすい《to》",ˈminɪŋfəl,Having importance; showing someone's intention,"【形】《...にとって》有意義な,意義のある《to / for》
《人に》理解しやすい《to》",a meaningful explanation,意味のある説明
namely,すなわち；つまり,ˈneɪmli,"that is to say, specifically","『すなわち』,つまり(that is to say)","It was due a week ago, namely on April second.",それは１週間前、すなわち４月２日に行われた。
nationalism,国家主義,ˈnæʃənəˌlɪzəm,"The spirit of love of your country, e.g. leading to war","愛国心;国家主義 
(植民地などの)典族芝義,独立自治主義",British nationalism was in the air and patriotic sentiments ran high,英国の愛国主義はあふれ、愛国的感情が高まった
neat,きちんとした,nit,Not messy; clean and orderly; simple and effective,"(見た目に)『きちんと整った』,小ぎれいな 
(人などが)きれい好きな;(服装などが)さっぱりした 
(やり方・話し方などが)手ぎわのよい 
《米話;現在はまれ》すばらしい,すてきな 
《話》(酒などが)水で割らない,ストレートの",There was a neat pile of books in the corner of the room.,部屋の隅に本がきちんと積み重ねられていた。
nicely,うまく；よく,ˈnaɪsli,in a pleasing way; in a polite way,"見事に,気持ちよく;うまく 
精密に",This skirt hangs nicely.,このスカートは体にちょうどよくあう。
noisy,【形】やかましい；派手な,ˈnɔɪzi,full of noise; loud,"(人・声などが)『やかましい』,騒々しい,(場所が)騒音に満ちている",It's noisy next door.,隣の部屋がうるさいのです。
outer,外側の；中心から遠くにある,ˈaʊtər,on or around something,"外に,外側の,外部の 
中心から遠い",regions of outer space,宇宙空間
painful,痛い,ˈpeɪnfəl,causing or feeling physical pain or hurt,"(肉体的・精神的に)『痛い』,苦痛の 
人を苦しめる,やっかいな","Recently my haemorrhoids, which I've had from before, are painful.",最近、以前からある痔が痛みます。
pardon,何とおっしゃいましたか？,ˈpɑrdən,to excuse,"〈罪・過失など〉'を'『許す』,〈質問・妨害など〉'を'大目に見る;〈人〉'を'許す 
〈刑罰〉‘を'免除する,軽減する 
〈U〉〈C〉(…を)許すこと,容赦すること《+『for』+『名』(do『ing』)》 
〈C〉恩赦,赦免 
=indulgence",He asked for my pardon.,彼は私に許してくれといった。
parental,親の,pəˈrɛntəl,"concerning, or provided by, a parent","親の,親としての,親にふさわしい 
親のような",parental guidance,保護者の指導
partial,"【形】一部分の,部分的な；不完全な；不公平な,偏った；《Aが》特に好きで《be ~ to A》",ˈpɑrʃəl,not complete; being only part of something,"【形】(また『part』)『一部分の』,部分的な;不完全な 
不公平な,偏った 
《補語にのみ用いて》《Aが》特に好きで《be ~ to A》",She is in partial agreement with this decision.,彼女はこの決定に部分的に同意している。
partially,部分的に；不公平に,ˈpɑrʃəli,in part; in some degree; not wholly,"部分的に,一部分 
不公平に,偏って","Version 1.0 of this document was prepared December 10, 2003 to partially fulfill the requirements for MIT 6.806: Ethics and Law on the Electronic Frontier, 
","本 文書 の バージョン 1 . 0 は 、 MIT 講義 6 . 806 : 「 電子 フロンティア における 倫理 と 法 」 の 修了 要件 を 部分 的 に 満たす べく 2003 年 12 月 10 日 に 書か れ た 。
"
photographic,写真の,ˌfoʊtəˈgræfɪk,concerning the art of making images with cameras,"写真の,写真用の 
(写真のように)正確な,精密な",figure 2 shows photographic and schematic views of the equipment,図2に装置の写真と概要図を示す
planner,手帳；ノート,ˈplænər,notebook for recording appointments or things to do,"計画者,立案者","At this point in time, it was known by Korean military planners that the most powerful inhabitants of Tsushima were away on voyages to Ming China and elsewhere, and moreover as the invasion was launched they ordered the simultaneous internment of all Japanese merchants living and operating within Korea, revealing how carefully they had planned this assault to take advantage of the weakness of Tsushima's defensive preparations and target the general population (not only the Wako).
","この時期は対馬の有力者が明などに渡航し不在であることを知り、また同時に朝鮮国内の在留商人らを一斉に抑留するなど、防備の弱体に乗じ一般民衆を標的にした周到な計画であったことが知られる。
"
problematic,問題のある,ˌprɑbləˈmætɪk,being difficult to deal with or fix,"疑問のある,あやふやな;未決(定)の","That area of scientific enquiry is then handed over in its entirety to the technicians, and the scientists move on to more problematic areas.
","科学 的 探究 の 領域 は 、 そこで 、 そっくり そのまま 技術 者 に 引き渡さ れ 、 科学 者 たち は もっと 問題 に 満ち た 領域 へ と 移っ て いく ん だ 。
"
readily,容易に,ˈrɛdəli,in a quick and easy manner,"『快く』,『進んで』(willingly) 
『容易に』,やすやすと(easily)","The cones of the jack pine, for example, do not readily open to release their seeds until they have been subjected to great heat.",例えばジャック・パインの松かさは、高温により影響を受けるまでは自ら開いて種子を放出しない。
realism,現実主義,ˈriəlɪzm,"accepting things as they are, not as you want","現実主義 
写実主義,リアリズム 
実在論","We have in our police reports realism pushed to its extreme limits, and yet the result is, it must be confessed, neither fascinating nor artistic.""
","警察 の 調書 で は 極限 ぎりぎり まで リアリズム が 押し進め られる が 、 でも その 結果 は 、 実 の ところ 、 魅惑 的 で も 芸術 的 で も ない 。 」
"
realistic,現実的な,ˌriəˈlɪstɪk,looks or appears real; like things really are,"『現実主義の』,現実的(実際的)な 
写実的な,写実主義の 
実在論の",The long discussion reached a realistic conclusion.,長い議論は現実的な結論に煮詰まった。
rewrite,書き直す,riˈraɪt,"to write again to improve, or correct errors","…‘を'『書き直す』 
《米》〈記者からの報告〉‘を'新聞比事に書き直す 
書き直されたもの 
《米》(書き直された)記事","So I wrote a LISP interpreter and put it in in place of MOCKLISP and in the process I found that I had to rewrite many of the editor's internal data structures
","それで LISP インタープリタ を 書い て 、 MOCKLISP を すげかえ て 、 その 過程 で 、 エディタ の 内部 データ 構造 を 書き直さ なきゃ なら ない こと も わかっ た 。
"
ruler,支配者；統治者,ˈrulər,someone who has control over a country or area,"『支配者』,統治者 
『定規』",The people revolted against their rulers.,民衆は支配者たちに反抗した。
sexuality,性的特質,ˌsɛkʃuˈæləti,characterized and distinguished by sex,"(両性の)性的特質 
性欲,性的関心",in the 19th century any reference to female sexuality was considered a vile aspersion,19世紀には、女性の性的関心へのどんな言及でもひどい中傷であると考えられた
simplify,簡素化する,ˈsɪmpləˌfaɪ,"to make something easier to do, use or understand","…‘を'簡単にする,平易にする,単純にする","""this marriage rather simplifies matters.
","この 結婚 が 事 を 簡単 に し た 。
"
sometime,いつか,ˈsʌmˌtaɪm,at an unknown time in the future,"(未来の)『いつか』;そのうち 
(過去の)あるとき;以前 
かつての,以前の(former)",She sometimes mixes up fancies with realities.,彼女はときに空想と現実を混同することがある。
specialty,専門；特殊；名物,ˈspɛʃəlti,the specific area of your field,"専門,専攻 
特色,特性 
特製品,特別品",Do you know a good specialty store dealing in herbs?,ハーブの専門店を聞いたことがありませんか。
subset,少派,ˈsʌbˌsɛt,a small set which is part of a larger set,"(一組・一団などの一部を成す)小さな一組 
(数学の集合論で)部分集合","Different schools use different names for the sticks based on their respective lengths, and both Jojutsu and hanbojutsu are considered a subset of Bojutsu.
","棒の長さによる呼び名は流派によって様々であり、杖術も半棒術も棒術の一種である。
"
supposedly,たぶん,səˈpoʊzədli,as some people believe (shows you doubt it),"想像上,おそらく","See, he was still distributing, and the company where he worked, which is Megatest, was still distributing the same thing he had given me, which really was an old version of Gosling Emacs with his changes, and so he was going to make an agreement with them where he would stop distributing that, and would switch to using GNU Emacs, and they would then acknowledge that he really had the permission after all, and then supposedly everyone would be happy.
","かれ も まだ 配布 し て た し 、 かれ の 職場 ―― Megatest 社 ね ―― も 、 かれ が ぼく に くれ た の と 同じ もの を 配布 し て て 、 それ はかれ の 変更 の 入っ た ゴスリング EMACS で 、 だから かれ は 連中 と それ を 配布 する の を やめる という 合意 を し て 、 GNU EMACS を 使う の に 切り替え て 、 それで そしたら 連中 は 、 かれ が 実は やっぱり 許諾 を 得 て た ん だ って こと を 認め て 、 そう すれ ば おそらく みんな 満足 って こと に なる はず だっ た 。
"
systematic,体系的な；組織的な,ˌsɪstəˈmætɪk,"done in a thorough, logical or planned way","『系統だった』,組織的な;形画的な,故意の 
規則正しい,きちょうめんな","However, systematic reproduction and distribution of complete tapes on the scale that was being practiced in the late 1970s far overstepped the bounds of a fair use defense.
","しかしながら テープ 一 本 丸ごと の 系統 だっ た 複製 と 流通 を 、 1970 年代 末 に 行わ れ て い た 規模 で 実施 する の は 、 フェア ユース による 弁護 の 範囲 を 踏み越える もの だ 。
"
terribly,ひどく,ˈtɛrəbli,to an extreme degree; badly; very,"『恐ろしく』,ものすごく 
(比較変化なし)《話》『ひどく』,非常に(very)","When she awoke, she felt terribly cold.",彼女は目を覚ました時、ひどく寒いと思った。
thickness,厚さ,ˈθɪknəs,the distance between the opposite edges of a thing,"〈U〉〈C〉厚さ,太さ,濃さ,密集,繁茂 
〈C〉層,重ね(layer)","He pointed to one corner, in which lay the great Head, made out of many thicknesses of paper, and with a carefully painted face.
","オズ が 指さし た 隅っこ に は 、 あの 大きな 頭 が 転がっ て い まし た が それ は いろんな 厚 さ の 紙 で でき て い て 、 顔 が 入念 に 描い て あっ た の です 。
"
underneath,下に,ˌʌndərˈniθ,below or beneath something; under,"…『の下に(を)』 
…の見かけのもとで 
『下に』,下の方に 
底,下側;最下部",The next morning I woke to see the fruit trees in bloom underneath my window.,翌朝、目がさめると、私の窓の下で果実の木の花が咲いているのを目にした。
unemployed,失業した，失業者,ˌʌnɛmˈplɔɪd,being without a job; jobless,"仕事のない,失業した 
利用してない,遊ばせてある 
失業者","Because he was unemployed, their wedlock failed.",彼が失業したので、彼らの結婚生活は破綻した。
whichever,どちらの～でも,wɪˈʧɛvər,whatever one,"《関係代名詞》《先行詞を含んで》『…するどれでも』(どちらでも) 
《譲歩節を導いて》『どちら(どれ)が(を)…しでも』 
《話》《which の強調形として》『いったいどちらが(を)』 
《関係形容詞》『どちらの(どの)…でも』 
《譲歩前節を導いて》『どちらの(どの)…が(を)…しても』","In most elections, whichever candidate gets the majority of the votes, wins the election.",選挙では、それが誰であれ、過半数を得た候補者が当選とされる。
whoever,誰が～しようとも；一体誰が～；～する人は誰でも,huˈɛvər,whatever person; any person at all,"《名詞節を導く関係代名詞》(先行詞を含む)…『する[ところの]だれでも』 
《譲歩節を導く関係代名詞》『だれが…でも』 
《疑問代名詞whoの強調形》《話》『いったいだれが』",Whoever comes will be welcome.,来る人は誰でも歓迎されます。
accent,訛り；強調,ˈæksɛnt,a way of speaking that shows your dialect or class,"〈C〉〈U〉『アクセント』,『強勢』;アクセント記号 
〈C〉(言葉の)なまり 
《複数形で》『口調』,音調(tone) 
〈C〉〈U〉強調,重視 
…‘に'アクセントをおく;…‘に'アクセント符号をつける 
…'を'強調する,目立たせる",She speaks English with a foreign accent.,彼女は外国なまりのある英語を話す。
actively,積極的に,ˈæktɪvli,doing things to achieve a specific goal,活発に;積極的に,We actively support work in other regions.,われわれが地域の方々に積極的に活動の支援を行います
adaptation,適応,ˌædəpˈteɪʃən,changing to a new form; thing that is changed,"〈U〉適応,順応 
〈U〉脚色,翻案;〈C〉翻案物,改作物",the play is an adaptation of a short novel,その劇は短編小説の翻案である
adaptive,適応性のある,əˈdæptɪv,able to adjust to new conditions,"適応できる,適応性のある",social facilitation is an adaptive condition,社会の簡便化は適応できる状態である
apple,りんご,ˈæpəl,hard round red or green fruit with a white center,『リンゴ』;リンゴの木,The orchardist grafted an apple bud onto the rootstock.,果樹栽培者がリンゴの接ぎ穂を台木に接ぎ木しました。
authority,権力者； 権限者,əˈθɔrəti,"people in positions of power, able to decide things","〈U〉(地位の持つ,また職能上与えられた)『権威』,『権力』,権限,権能 
〈C〉『権力者』,権限者;《複数形で》『当局』,その筋,官庁 
〈C〉(情報・助言などの)信頼すべき筋,信頼できる根拠;典拠 
〈C〉(その道の)大家,権威(expert)《+『on』+『名』》",The school authorities started to take action at their request.,彼らの要請に応じて学校側が動き出した。
availability,可用性；利用可能,əˌveɪləˈbɪləti,being present and able to be used,"利用できること,有用性,利用価値",He checks the price and availability of the product.,彼が商品の価格・在庫をチェックする
bang,たたく；ぶつける,bæŋ,to strike something loudly or forcefully,"バン(ドカン,ズドン,バタン)という音 
バン(ドン)という一撃(強打) 
《話》活力,気力 
…'を'『バン(ドン)と打つ』;(…に)…'を'バン(ドン)と打ちつける《+『名』+『on』(『against』『,at』)『+『名』》;〈戸など〉'を'バタンとしめる 
『バン(ドン)と音を立てる』;(…を)ドン(バン)と打つ《+『on』(『against』,『at』+『名』》/性交する（相手は女）  
まさに,全く,ちょうど",He banged his fist on the table.,彼はテーブルを拳骨でどんどんたたいた。
bat,バット,bæt,object used for hitting a ball in various games,『コウモリ』,"Bats are mammals, just like us.",コウモリって私たちと同じ哺乳動物なのです。
blank,空白,blæŋk,being empty; not filled out; with no writing on it,"(紙が)『白紙の』;(欄が)空白の,書き入れていない 
がらんとした,からの(empty);なんの装飾もない 
『ぼんやりした』,うつろな,無関心な 
全くの 
『空白』,空所 
書き込み用紙(form) 
空虚;空(くう)の部分 
(語句・文学を伏せる場所に用いる)ダッシュ“‐"":Mr-某氏 
(またblank cartridge)(銑火器の)空包 
…'を'消す,削除する《+『名』+『out,』+『out』+『名』》 
《米》〈相手〉‘に'試合で得点させない","""If it's money then I'm not lending any"" I said point blank.",「金なら貸さないからな」、俺はにべもなく言った。
bleed,出血する,blid,to lose blood because of an injury,"『出血する』,血を流す;血を流して死ぬ 
(切り口などから)〈植物が〉樹液を出す 
(…に)血の出るような思いをする《+『for』+『名』》 
〈絵具・染料などが〉にじむ 
(病気の治療として)〈患者〉‘から'血をとる,放血させる 
(切口・開口部から)〈血・樹液など〉'を'出す 
…‘から'液体(ガス)を抜きとる;(液体・ガスなどを)…‘から'抜きとる《+『名』+『of』+『名』》 
《話》…‘から'金をしぼり取る",I bleed when I have bowel movements.,排便の際出血します。
bound,縛られた,baʊnd,to go to a specified place; to jump,"《副詞[句]を伴って》『はね上がる』,はね飛ぶ,はね返る 
〈心が〉おどる,わくわくする 
『はずみ』,はね返り;『跳躍』",It's just if we have it every day we're bound to get fed up with it. I must increase the variety of my cooking.,ただ、毎日だとさすがに飽きるだろう。もっと料理のバリエーションを増やさないと。
broadly,広く,ˈbrɔdli,in a general (not detailed) manner,"広く,あまねく 
明白に;露骨に 
大まかに",He grinned broadly at us.,我々を見てにたりと笑った。
bucket,バケツ,ˈbʌkət,open container with a handle used to carry liquids,"『バケツ,手おけ』;(井戸の)つるべ 
バケツ状の物;(水車・タービンなどの)水受け;(ポンプの)吸い子 
バケツ1杯(の…)(bucketful)《+『of』+『名』》",It's raining buckets outside.,外はバケツをひっくり返したような雨です。
calculation,"【名/U/C】計算,見積もり,算定；予想,推定；意図,熟慮",ˌkælkjəˈleɪʃən,process or result of using mathematics,"見積もり,算定 
予想,推定 
意図,熟慮",I have gone astray somewhere in my calculation.,僕の計算がどこかで間違ってしまった。
calculator,計算機,ˈkælkjəˌleɪtər,a small electronic device used for calculation,"計算者 
計算器機(=calculating machine)",The calculator on the table is mine.,テーブルの上の電卓は私のです。
characterization,"【名/U】(小説や劇中の)人物[性格]描写,人物表現；特性,特性評価；特徴の説明",ˌkɛrəktərɪˈzeɪʃən,the way someone or something is described,"性格描写 
特性(特質)を表すこと,特徴づけ","Each one approaches the task of bug characterization with a slightly different perceptual set and analytical toolkit, a different angle on the problem. 
","各人 が 、 ちょっと ずつ ちがっ た ものの 見方 と 分析 用 ツール キット をもって 、 その 任 に 当たる 。
"
cheat,【動/他】騙す 【動/自】不正をする 【名/C】詐欺 【名/U】詐欺師,ʧit,To act in dishonest manner to gain an advantage,"〈人〉'を'『だます』,欺く 
《文》…'を'うまくのがれる 
(…で)〈人が〉『不正をする』,カンニングする《+『at』(『on, in』)+『名』》 
《話》(浮帰などで夫または妻を)裏切る《+『on』+『名』》 
〈U〉〈C〉詐欺,ぺてん 
〈C〉ずるいやつ,詐欺師,やま師","If you cheat, you run the chance of getting arrested.",不正を働くと逮捕される危険がある。
cheers,乾杯,ʧɪrz,a toast used when raising your glass to drink,"(健康を祝して)乾杯 
ありがとう 
(特に電話で)ではまた",I could not but cheer when my friend was handed the trophy.,友人がトロフィーを手渡されたとき、私は喝采せずにはいられなかった。
clever,利口な,ˈklɛvər,Showing intelligence; quick to understand or learn,"『リコウな』,頭のよい,才気のある,気のきいた 
『器用な』,じょうずな(skillful)",A clever student can answer such a question easily.,利口な生徒はそうした質問に簡単に答えられる。
clip,クリップ；切り抜き，切り抜く,klɪp,a metal holder used for keeping things together,"『紙ばさみ』,クリップ;留める物 
(機関銃の) 挿弾子｛そうだんし｝、弾倉｛だんそう｝　…'を'『はさむ』,はさんで留める","When someone becomes neurotic about pens and paper clips, it's a sure sign they're cracking up.",誰かがペンとかクリップのことで神経質になってきたら、それは気が触れ出したという立派な前触れである。
clue,手がかり,klu,a piece of information that helps explain a situation or provide a solution to a problem,"(問題・なぞなどを解く)『手がかり』,(研究などの)『糸口』,端緒;(話などの)筋道《+『to』+『名』》 
=ciew1 
=clew3 
《『clue in』(『up』)+『名,clue』+『名』+『in』(『up』)》(…について)…‘に'手掛かり(情報)を与える《+『about』(『on』)+『名』》","Even if he has a clue, he won't let you know it.",手がかりを持っていたとしても、彼は君には教えまい。
commentary,論評；注釈；記録,ˈkɑmənˌtɛri,explanation or discussion of a written work/event,"(…の)注解,注釈書,解説,論評《+『on』(『upon』)+『名』》 
《複数形で》(…の)実録《+『on』+『名』》","In 615 Prince Shotoku described ""Hokke Gisho,"" a commentary of the Hokke-kyo sutra (see 'Sangyogisho').
","615年には聖徳太子は法華経の注釈書『法華義疏』を著した（「三経義疏」参照）。
"
commonly,一般に,ˈkɑmənli,"typically, normally; not unusually","『一般に』,通例,普通 
俗に,下品に",sundry sciences commonly known as social- I.A.Richards,一般にとして社会として知られているいろいろな科学−I.A.リチャード
comparable,比較できる；同等な,ˈkɑmpərəbəl,being similar in some way,"比較できる,類以点がある;(…と)比較できる《+『with』(『to』)+『名』》 
匹敵する,肩を並べられる;(…に)匹敵する《+『with』(『to』)+『名』》",This metal is comparable to iron in strength.,この金属は強度では鉄に匹敵する。
complication,"【名/C】状況を複雑にする事;やっかいな問題；合併症；複雑な結合【U】困難化,複雑化",ˌkɑmpləˈkeɪʃən,action making something harder to do something,"〈U〉〈C〉複雑[な状態],粉糾[状態] 
〈U〉(…を)複雑にすること《+『of』+『名』》 
〈C〉複雑な(やっかいな)事を引き起こすもの・〈C〉併発症, 併発，合併症","Due to complications during the start of its franchise, there is no virtual main store (basically, the store which used to be the main store withdrew from the chain).
","チェーン店立ち上げ当初、かなりややこしい事情があったため、本店と呼べる店は存在しない（かいつまんで言うと、もともと本店だった店がチェーン店から離脱したのである）。
"
conditional,条件付きの,kənˈdɪʃənəl,depending (on),"条件つきの,暫定的な 
(文法で)条件を表す 
(文法で)条件文(節)",conditional acceptance of the terms,言葉の条件付き受諾
connector,コネクタ,kəˈnɛktər,a device that joins things together,"(電気の)接続子,(電話の)接続器 
(一般に)連絡者;(列車の)連結手;連結物;(車両の)連結器","Geta is a common name of a board with extension wires which is used when diagnosing and analyzing a failure through processes of drawing a specific board suspected to have a failure among multiple printed-circuit boards incorporated in a device, attaching a connector to a same-sized printed-circuit board as such circuit board, establishing a one-to-one extension wire between the device and the connector, and observing the performance of a circuit with an oscilloscope or analog multimeter.
","多数のプリント基板が組み込まれた装置で故障と疑われる特定の基板を引き出し、その基板と同一サイズのものに接栓（せっせん）を付け、装置との接栓間に一対一の延長線を設け、オシロスコープやアナログマルチメータなどで回路の動作を観測し故障診断分析を行う時に使用する延長線基板の俗称。
"
conscious,意識している,ˈkɑnʃəs,aware of what is going on around you; not knocked out,"《補語にのみ用いて》『気づいている』,知っている,意識している 
《補語にのみ用いて》(…に)『反応を示す』,意識(知覚)のある《+『to』+『名』》 
《名詞の前にのみ用いて》『意識した』,わざとらしい 
考えることができる,意志のある",I think she was conscious of being stared at by many boys.,彼女は大勢の少年たちに凝視されているのを意識していたと思う。
consciousness,意識,ˈkɑnʃəsnəs,being awake,"意識,知覚 
(個人や集団の)意識,精神,意見",He has not yet recovered consciousness.,彼はまだ意識を回復していない。
container,容器,kənˈteɪnər,an object that can be used to hold things,"容器,入れ物(箱・かんなど);(貨物輸送用の)コンテナ",Put 2 liters of water in the container.,容器に２リットルの水を入れます
correction,訂正,kəˈrɛkʃən,a change to make something right,"〈U〉『訂正』,修正,調整 
〈C〉訂正箇所,訂正の書き入れ 
〈U〉(よくするための)処罰,叱責(しっせき)",I believe this may be a correction after investigation of his date of birth in the family register.,これはおそらく戸籍上の出生年月日を調べた上で修正したのではないかと思います。
correctly,正しく,kəˈrɛktli,in an accurate or correct manner,"正しく,正確に;正確に言えば","First, they should have right ideas of things, ideas that are based on careful observation, and understand causes of effects and their significance correctly.",第一には、ものの見方を正しくしてその原因と結果とをよくわきまえる。
cure,治療，治療する,kjʊr,a medicine or treatment that makes an ill person become healthy,(フランスの)主任司祭,The medicine cured him of his illness.,薬が彼の病気を治した。
detection,発見；検出,dɪˈtɛkʃən,the act of discovering something or solving a crime,"発見,探知,発覚 
(電波の)検波",asdic is an acronym for antisubmarine detection investigation committee,潜水艦探知機は対潜水艦の検出調査団のための頭文字語です
developmental,発達上の,dɪˌvɛləpˈmɛntəl,concerning the development or growth,開発の;発達上の;発育上の,"However, theses about the art of the proletariat after its assumption of power or about the art of a classless society would have less bearing on these demands than theses about the developmental tendencies of art under present conditions of production.
","しかしながら 、 権力 を 持っ た あと の 労働 者 アート について と か 、 階級 の ない 社会 の アート に ついて など 、 現在 の 生産 の 条件 における 、 アート の 発展 傾向 について より 、 その 予測 と の 関係 が 薄い よう だ 。
"
