英単語,訳,発音,英語の意味,解説,用例,用例・訳
against,～に反対して,əˈgɛnst,in opposition to; disagreeing with,"…『に対して』,に逆らって(in opposition to);…に不利に 
《保護を表す動詞と共に》…『から』 
…『にぶつかって』,に向かって 
…『にもたれて』,に寄りかかって 
(災難・事故・万一の場合など)『に備えて』,を避けるように 
…『を背景として』,と対照して 
…と交換に,と引き換えに",Please exercise every caution against cowboy salesmen of water purifiers and fraudulent-test sales.,くれぐれも浄水器の悪質訪問販売業者や無料点検商法にはご注意ください。
age,年齢,eɪʤ,number of years a person has lived (also of things),"〈U〉(一般に)『年齢』,寿命;〈C〉(個々の)『年齢』,年 
〈U〉成年(おとなとしての資格・権利を得る年齢;通例18または21歳) 
〈U〉『老齢』;《集合的に》老人たち 
〈U〉(人生の)『一時期』;〈C〉世代(generation) 
〈U〉〈C〉《しばしばA-》(歴史上の)『時代』 
〈C〉《話》長い間 
年をとる,ふける;〈物が〉古くなる 
〈年〉'を'とらせる;〈物〉'を'古びさせる","I expected more classical features, but hers is a beauty that would do well even in this age.",もっと古典的な顔立ちなのかと思いきや、今の時代でも充分通用する美形です。
ago,～前に,əˈgoʊ,At a specified length of time in the past,"《期間を表す語[句]の後に用いて》(今から)…『前に』 
《longの後に用いて》『以前に』",I came to Tokyo three years ago and have been living here ever since.,３年前に東京へ来て以来ここに住んでいる。
agree,同意する；一致する；合う,əˈgri,to have the same opinion as someone else,"〈人が〉『意見が一致する』,合意する;『同意する』,賛成する 
〈物事が〉(…と)合致する,一致する《+『with』+『名』》 
(…と)いっしょにうまくやる《+『with』+『名』》 
(文章で)〈人称・性・数・格が〉一致する 
…に意見が一致する,同意する","I agree on an emotional level, but on the pragmatic level I disagree.",心情的には賛成、けれど現実的に反対します。
agreement,合意；協定；一致,əˈgrimənt,when you share the same opinion or reach a decision,"〈U〉(意見・感情などの)(…についての)『一致』,調和,同意《+『on』(『upon,about,with』)+『名』(『wh-節・句』)》 
〈C〉(2者以上の間で結ばれた)『協定』,協約 
〈U〉(人称・性・格の)一致(concord)",We sat down and hashed out all the details until we reached an agreement.,僕たちは同意に達するまで座って一部始終話し合った。
ahead,前方に；先に,əˈhɛd,In or toward the front,"(空間的に)『前方に』,前に(へ) 
(時間的に)『前に』,先に 
他よりまさって","At present a very great number of people are seeking to participate and, depending on circumstances, up to a month ahead is fully booked.",現在、参加を希望する方々がとても多く、状況によって１ヶ月先まで満席になっております。
air,空気,ɛr,mixture of gases around the earth that we breathe,"〈U〉『空気』,大気 
《the ~》『空中』,空間,空(sky) 
《古》〈C〉そよ風,微風(breeze) 
《文》〈C〉(音楽の)ふし,旋律(melody) 
〈C〉様子,態度,風さい 
《複数形で》気どった様子 
〈衣服など〉'を'空気にさらす,風にあてる 
〈部屋〉‘に'風を通す 
〈うわさ・意見など〉'を'言いふらす","For delayed flights, seasonal adjustments are made on the basis of the original flight date and so refunds of air-mile difference will not be made.",遅延便については、オリジナルの出発日に基づくシーズナリティを適用するため、マイル差額の払い戻しはいたしません。
all,すべて,ɔl,completely; totally,"《単数形,または数えられない名詞につけて》(ある一つのものについて,その)『全体の』,全…,…じゅう,…全体 
《複数形につけて》(個々を一つにまとめて)『全部の』,すべての 
《複数形,または数えられない名詞につけて》(ある全体の中の)いずれの,およそどの,あらゆる 
《数えられない名詞につけて》できる限りの,最大の 
《単数扱い》(物事について)『全部』,全体,すべて 
《複数扱い》『全員』,みんな 
いっさいの所有物,いっさいがっさい 
『すっかり』,『全く』,もっぱら 
《all the+比較級の形で》かえって,いっそう 
どちらも,双方とも",It may be that the happiness awaiting us is not at all the sort of happiness we would want.,そこで私たちを待っている幸福が、私たちが望むような幸福ではないかもしれない。
allow,【動/他】に許可を与える；を許す；を与える；を見越しておく,əˈlaʊ,To let or permit someone do something,"〈事〉'を'『許す』,〈人〉‘に'許可を与える 
〈金〉'を'与える,やる 
(…のために)…'を'用意しておく,見越しておく《+『名』+『for』+『名』(do『ing』)》 
《まれ》…'を'認める","In order to isolate him from bacteria, and such, he is not allowed visitors.",細菌などから隔離するため、面会謝絶となっています。
almost,ほとんど,ˈɔlˌmoʊst,"Only a little less than, nearly, not quite","『ほとんど』,たいてい(nearly)",With all the kerfuffle since this morning I'd almost forgotten but we've still got the problem of the club members haven't we?,朝からのバタバタで忘れかけていたけど、まだ部員問題も残ってるんだろう？
alone,独りで；ただ～だけ,əˈloʊn,Without anyone or anything else,"『ひとりで』,一つで,単独で;ただ…だけで 
《名詞・代名詞のすぐ後に用いて》ただ…だけ(only)","If you have the money, then you may use it with other treatments, but the results from hypnotism alone should be plenty.",金銭的に余裕があるのなら、他の治療法と併用しても構わないが、催眠だけで十分に効果がある。
along,～に沿って,əˈlɔŋ,At a point on a line,"『…をたどって』,…に沿って 
…の間に(during),…の途上で 
『沿って』,並んで 
《動作や状態の継続を強めて》前へ,進んで 
(人を)連れて;(物を)持って",His backache left him lurching along with leaden legs.,腰の痛みから足が鉛のように重く引きずるように歩いていました。
already,すでに,ɔlˈrɛdi,Having happened or been done before this time,"《肯定文で》『もう』,『すでに』 
《驚き・意外の意を表して》《疑問文で》もう,早くも;《否定文で》まさか",It is already eleven.,１１時になっているよ。
alright,申し分ない；大丈夫である；了解した,ˌɔlˈraɪt,OK; fine; good,=all right,Alright! Listen up and listen well!,いいか、よく聞いてくれ！
also,～もまた；同様に；その上,ˈɔlsoʊ,In addition; too; in a similar way,"…『もまた』(too),やはり 
そしてその上,それから",I also prefer it with the hair worn up.,髪も上げたほうが私は好きだ。
although,〜だけれども,ˌɔlˈðoʊ,Despite the fact that; however,"…『ではあるが』,…とはいいながら,…だが(though)","""Risk money"" refers to funds placed in investments that seek high-return, although high-risk, investments.",リスクマネーとは、ハイリスクながらハイリターンを求める投資に投入される資金のことをいう。
always,いつも,ˈɔlˌweɪz,at all times; in every situation,"『いつも』,常に 
いつまでも,永久に(forever) 
《話》いずれにしても,必要なら","The daughter was irritated with her mother, who always broke her promises.",娘はいつも、約束を守らない母親に苛立っていた。
amaze,びっくりさせる,əˈmeɪz,To cause wonder; to surprise completely,"…'を'『ひどくびっくりさせる』,驚きあきれさせる",I was amazed at the boy's intelligence.,僕はその少年の利発なのに驚いた。
among,〜の間に；～の中の,əˈmʌŋ,In the center of some things; in relation to several things,"…『の間に』,に囲まれて 
《おもに最上級と共に》…『の中の一つ』(『一人』)『で』,のうちに数えられて 
《分配を表す動詞と共に》…『の間で』,めいめいに 
…がいっしょになって,が協力して",Khabarovsk is among the largest cities of the Russian Far East.,ハバロフスク市が極東ロシアで大都会の一つです。
amount,量；総計，合計に達する；結局～なる,əˈmaʊnt,quantity of something,"〈計算・金額が〉『総計』(…に)『なる』,(…に)のぼる《+『to』+『名』》 
〈事が〉結局(…に)なる,(…に)等しい《+『to』+『名』》 
〈U〉《the ~》『総計』,総額,総数(sum) 
(ある)『量』,額 
〈U〉真意;要旨",For that reason the outcome of the primary nursing care requirement authorization has to relate to the amount of nursing care required.,そのため、要介護認定の結果は介護サービスの量と関係している必要があります。
and,～と・・・,ænd,used to refer to two or more things,"《語・句・節を対等に結んで》…『と』…,…や…,および 
《数詞を結合して》…『足す』…,…に加えて 
…『しかも』…,…して,同時に… 
《時間的に》『そして』,それから,すると(and then) 
《当然の帰結として》…『ので』,…だから(and so) 
《おもに話》《命令文などの後で》『そうすれば』,そうしたら 
《追加・強調して》それに,しかも 
《対照的な内容を導いて》ところが,しかし(but) 
《譲歩的に》それなのに,それでいながら 
《A and Bで一体の関係を表して》《単数扱い》 
《同一語を反復して多数・継続などを表して》 
《同一の複数名詞を結合して変化・種類などを表して》 
《話》《「形容詞+and+形容詞」の形で前の形容詞が後に副詞的に働く》 
《話》《「動詞come, goなど+and+動詞」の形でandとその後の動詞が不定詞の働きをして》 
《「動詞+and+動詞」の形で後の動詞が現在分詞の意を表して》 
《話》《文頭において前の質問・意見などに同意を示して》そうとも,そして(Yes!and) 
《話》《文頭に置いて驚き・疑念・非難などを表して》ほんとうに;…なのに",I may give up soon and just nap instead.,すぐに諦めて昼寝をするかも知れない。
angry,腹を立てている,ˈæŋgri,Having a strong feeling of being upset,"『おこった』,腹を立てた 
(海・波・風などが)おこったような,激しい 
(傷が)炎症を起こした","""I'm not angry. Look, see this smiling face?"" ""That's what they call a forced smile!""",「怒ってない。ほら見て、このにこやかな笑顔」「それは作り笑いっていうんですよ」
animal,動物,ˈænəməl,A living creature that is not a plant or person,"(植物に対して)『動物』 
(人間以外の)『動物』,けだもの 
(魚・鳥などに対して)哺乳動物(mammal) 
けだもの(野獣)のような人 
(比較変化なし)《名詞の前にのみ用いて》動物の,動物性の,動物質の 
(知的・精神的に対して)動物的な;肉欲的な","A dead deer being pecked by vultures, remains partly eaten by other animals, that sort of rotten meat is called 'carrion'.",ハゲタカが突っつく死んだ鹿とか、他の動物の食べ残しとか、 そういう腐った肉を死肉と書きました。
another,もう一つの；別の,əˈnʌðər,one more (thing); additional (thing),"『もう一つの』,『もう一人の』 
『別の』,ほかの(different) 
『もう一つ』,『もう一人』 
『別のもの(人)』,違ったもの(人) 
似たもの,同類","I'm in transit between flights now. I've spent 8 hours on a plane so far, after changing planes now it's another two hours.",今、飛行機の乗り換えだ。今まで飛行機８時間乗って、乗り換えてこれから又２時間だ。
answer,答え,ˈænsər,solution to a problem or test question,"(質問・要求に対する)『答え』,回答(reply),(手紙に対する)返事《+『to』+『名』》 
(…に対する)『応報』,応答,仕返し《+『to』+『名』》 
(問題に対する)解答,正解《+『to』+『名』》 
(一般に)(…に対する)解答,説明,(被告人の)答弁,申し開き《+『to』(『for』)+『名』》 
〈質問・手紙・人など〉に『答える』,返事をする 
〈訪問・電話など〉‘に'応じる 
(…で)…‘に'応酬する,応答する《+『名』+『with』+『名』》;〈非難など〉‘に'答弁する 
〈目的・条件など〉‘に'かなう,合致する,添う 
(…に)『答える』,返事をする《+『to』+『名』》 
(…)に応ずる,応酬する《+『to』+『名』》 
〈物事が〉うまくいく,成功する",Have I answered your question?,私は質問に答えたでしょうか。
any,（疑問文で）何か；いくらか，（否定文で）どれも；少しも，（肯定文で）どれでも,ˈɛni,one (thing) of many; some (thing),"《疑問文・条件節で》『いくらかの』,何か,だれか;《否定文で》『少しも』,何も,だれも 
《肯定文で,単数名詞につけて》『どんな…でも』 
《否定文で》『少し[も],だれも』;《疑問文・条件節で》(…の)『どれか』,いくらか,だれか《+『of』+『名』》 
《肯定文で》『どれでも,だれでも』,少しでも;(…の)どれでも,だれでも《+『of』+『名』》 
《比較級とともに用いて》『少しでも』,いくらかでも 
《米》《動詞を修飾して》少しは,少しでも","Are there any knacks, or good sites, for downloading Japanese software?",日本語のソフトを落とすコツ・いいサイトありませんか？
anybody,【代】｟くだけて｠（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも,ˈɛnibədi,Any person; anyone,"《疑問文・条件節で》『だれか』;《否定文で》『だれも』 
《肯定文で》『だれでも』 
《否定文・疑問文・条件節で》偉い人,ひとかどの人間 
《肯定文で複数に用いて》つまらない人,普通の人","It's nothing to do with me, equals, I don't have to be here. So I'm getting out of here, whatever anybody says!",俺は関係無い、イコール、いなくていい。だから、ここから出ていく何と言われようとも！
anymore,【副】もはや；これ以上；さらに（…ない、しない）,ˌɛniˈmɔr,No longer; no more,"【副】《否定文･疑問文で》 もはや；これ以上；さらに（…ない、しない）
 《非標準・肯定文・文尾・文頭で》近ごろ, 最近は",I can't stand his behavior anymore.,彼の振る舞いにこれ以上我慢できない。
anyone,【代】｟かたく｠（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも,ˈɛniˌwʌn,Any person,=anybody,His story was too ridiculous for anyone to believe.,彼の話はあまりにも馬鹿げていたので誰も信じなかった。
anything,（疑問文で）何か，（否定文で）何も，（肯定文で）何でも,ˈɛniˌθɪŋ,thing of any kind; used to refer to a thing in questions,"《疑問文・条件節で》『何か』;《否定文で》『何も』,どんなことも 
《肯定文で》『なんでも』,どんなものでも","He said with a perplexed expression, ""I've heard nothing, so I can't say anything.""",「何も聞いていないので何も言えない」と困惑の表情を浮かべた。
anyway,【副】とにかく；いずれにせよ,ˈɛniˌweɪ,A word people use to change the topic of a conversation,=anyhow,"Right, while we're taking a walk anyway, we could like go along the woodland path and enjoy a little stroll through the forest...",そうだ、どうせなら散歩がてらに、林道に行ってプチ森林浴でも・・・。
anywhere,（疑問文で）どこかへ，（否定文で）どこにも，（肯定文で）どこでも,ˈɛniˌwɛr,"in, at or to any place; used in questions, with 'not'","《疑問文・条件節で》『どこかへ』(『に』),《否定文で》『どこへも』(『にも』) 
《肯定文で》『どこにでも』,どこへでも 
(数量が)(…から…まで)ぐらい,(ざっと…)ぐらい",The musical instruments and parts are completely professional quality! And yet the prices are lower than anywhere!,楽器・機材の質は完全にプロ仕様！ですが値段は何処よりも安い！
apart,離れて；別々に,əˈpɑrt,Separated by an amount of time or space,"(時間的・空間的に)『離れて』,隔って;(…から)離れて《+『from』+『名』》 
区別して;(…と)別々に《+『from』+『名』》 
ばらばらに","Me? I can't even begin to draw buffalo, deer and horses so you can tell them apart.",私なんぞには野牛と鹿と馬とを描き分けることなど到底出来ない。
apparent,【形】明白な；外見上の,əˈpɛrənt,Easy to see or clearly understand,"『明白な』,はっきりした 
『外見上の』,見かけの,うわべの",It was apparent that he did not understand what I had said.,明らかに彼は私が言ったことを理解していなかった。
apparently,【副】明白に；見かけは,əˈpɛrəntli,according to what you heard; from what can be seen,"『明らかに』(obviously) 
『見かけは』,見たところは(…らしい)",Apparently an old friend of mine is going to a university in Osaka in Spring.,幼なじみが春から大阪の大学に行くらしい。
appear,現れる,əˈpɪr,"to be seen, become visible; come into sight","『姿を現す』,出現する 
〈本・記事などが〉公になる,出版される 
(劇などに)出演する;(法廷などに)出廷する,出頭する 
(…のように)『見える』,『思われる』","Between E->J translations and J->E, it appears that more people want English-Japanese translations.",英日の翻訳と日英の翻訳では、英日の翻訳を希望する人のほうが多いようです。
appearance,外観；出現；状況,əˈpɪrəns,The way that something looks,"〈C〉『現れること』,出現;出演,出廷;出版,発刊 
〈U〉〈C〉『外観』,見かけ,風さい(outward look) 
《複数形で》形勢","It's well said that ""You can't judge people by their appearance"", isn't it?",「人は見かけによらない」とはよく言ったものですね。
area,地域；場所,ˈɛriə,A specific section or space; part of a region,"〈U〉〈C〉『面積』 
〈C〉『地域』,『地方』(region, district) 
〈C〉(活動・研究・興味などの及ぶ)『範囲』,『領域』(range)《+『of』+『名』》 
〈C〉《英》=areaway 1","There's also the danger of unexploded bombs, so they reported it to the police and the area was taped off to keep people out.",不発弾の危険性もあることから警察に通報し、現場にテープを張って立ち入りを防いでいる。
arm,腕,ɑrm,part of your body from your shoulder to your hand,"(人・猿の)『腕』;(四つ足の動物の前肢の)腕(手首から肩までの間;手はhand) 
腕のような物;(特に)いすのひじ掛け,樹の大枝",The lovers were walking arm in arm.,恋人たちはお互いに腕を組んで歩いていた。
around,～の周りに,əˈraʊnd,"Located on every side, or along something","《beなどの状態を表す動詞,また動作を表す動詞と共に》…『の周りに』(『を』),…の周囲に(を),…をぐるっと取り巻いて 
《米・英話》《be, lieなどの状態を表す動詞と共に》『…のあちこちに』,《移動を表す動詞と共に》『…のあちこちを』,…をぐるっと回って(《英》about) 
《米・英話》どこか…のあたりに,の付近に(《英》about) 
《米・英話》…『を回って』,回ったところに(《英》about) 
…を中心として 
《米・英話》およそ,約 
『周りに』,ぐるりと,一周して 
《米》あちこちに(と)(《英》about) 
《米》周辺に,あたりに,付近に(《英》about) 
《米》曲って,回って(《英》about) 
《米》『回ったところに』,回った向こう側(こちら側)に 
《米》(時期・季節などが)巡って 
《米》(軸を中心に)回転して 
《米》(方向など)ぐるりと変えて 
《米》元に戻って 
《おもに米話》活動して",What goes around comes around.,汚い行為の報いは必ず自分に返ってくる。
arrival,到着,əˈraɪvəl,when someone or something gets to at a place,"〈U〉(…への)『到着』《+『at』(『in』)+『名』》 
〈U〉(目標・目的などへの)『到達』《+『at』(『in』)+『名』》 
〈C〉到着した人(物),到着する人(物);生まれた子",The mother will not be at ease until she hears of her son's safe arrival.,母親は息子が無事ついたということを聞くまでは安心しないだろう。
arrive,到着する,əˈraɪv,to reach the place you are travelling to,"(ある場所に)『着く』,(目的地に)『到着する』《+『at』(『in, on』)+『名』》 
(ある目標・過程・断階などに)達する《+『at』+『名』》 
〈時が〉来る(come) 
成功する,名声を博する 
〈赤ちゃんが〉生まれる",My parents have just arrived at the station.,両親はたった今、駅に着いたばかりです。
art,芸術,ɑrt,"A creative skill using the imagination, e.g. painting",=are (主語がthouの場合のbe動詞に用いる;第二人称・単数・現在・直説法形),I don't know how to use an art file (.art).,アートファイル(.art)の使用法がわかりません。
artist,芸術家；アーティスト,ˈɑrtəst,"A person who is skilled and creative in art, such as a painter","『芸術家』;(特に)画家,彫刻家,音楽家 
(また『artiste』)芸能人(俳優・歌手・ダンサーなど) 
(その道の)達人,名人《+『at』(『in』)+『名』(do『ing』)》",He is one of the greatest artists in Japan.,彼は日本の最高の芸術家の１人です。
